id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
14,Calvados,1400002,14020,Argences,0001,14020_0001,Argences - 0001,1029,711,"69,10%",318,"30,90%",693,"67,35%","97,47%",12,"1,17%","1,69%",6,"0,58%","0,84%",Numéro de panneau 1,1
14,Calvados,1400002,14020,Argences,0002,14020_0002,Argences - 0002,816,557,"68,26%",259,"31,74%",546,"66,91%","98,03%",6,"0,74%","1,08%",5,"0,61%","0,90%",Numéro de panneau 1,1
14,Calvados,1400002,14020,Argences,0003,14020_0003,Argences - 0003,1122,725,"64,62%",397,"35,38%",709,"63,19%","97,79%",10,"0,89%","1,38%",6,"0,53%","0,83%",Numéro de panneau 1,1
14,Calvados,1400002,14036,Banneville-la-Campagne,0001,14036_0001,Banneville-la-Campagne - 0001,181,139,"76,80%",42,"23,20%",136,"75,14%","97,84%",3,"1,66%","2,16%",0,"0,00%","0,00%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,12.1,14118_12.1,Caen - 12.1,983,625,"63,58%",358,"36,42%",619,"62,97%","99,04%",6,"0,61%","0,96%",0,"0,00%","0,00%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,13.1,14118_13.1,Caen - 13.1,955,572,"59,90%",383,"40,10%",565,"59,16%","98,78%",5,"0,52%","0,87%",2,"0,21%","0,35%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,13.2,14118_13.2,Caen - 13.2,1035,790,"76,33%",245,"23,67%",781,"75,46%","98,86%",7,"0,68%","0,89%",2,"0,19%","0,25%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,13.3,14118_13.3,Caen - 13.3,972,636,"65,43%",336,"34,57%",625,"64,30%","98,27%",8,"0,82%","1,26%",3,"0,31%","0,47%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,14.1,14118_14.1,Caen - 14.1,987,686,"69,50%",301,"30,50%",673,"68,19%","98,10%",9,"0,91%","1,31%",4,"0,41%","0,58%",Numéro de panneau 1,1
14,Calvados,1400002,14118,Caen,14.2,14118_14.2,Caen - 14.2,989,642,"64,91%",347,"35,09%",637,"64,41%","99,22%",4,"0,40%","0,62%",1,"0,10%","0,16%",Numéro de panneau 1,1
