id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
95,Val-d'Oise,95006,95014,Andilly,0001,95014_0001,Andilly - 0001,695,492,"70,79%",203,"29,21%",483,"69,50%","98,17%",5,"0,72%","1,02%",4,"0,58%","0,81%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95014,Andilly,0002,95014_0002,Andilly - 0002,787,604,"76,75%",183,"23,25%",595,"75,60%","98,51%",6,"0,76%","0,99%",3,"0,38%","0,50%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0001,95197_0001,Deuil-la-Barre - 0001,984,663,"67,38%",321,"32,62%",652,"66,26%","98,34%",8,"0,81%","1,21%",3,"0,30%","0,45%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0002,95197_0002,Deuil-la-Barre - 0002,934,689,"73,77%",245,"26,23%",671,"71,84%","97,39%",14,"1,50%","2,03%",4,"0,43%","0,58%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0003,95197_0003,Deuil-la-Barre - 0003,899,554,"61,62%",345,"38,38%",547,"60,85%","98,74%",5,"0,56%","0,90%",2,"0,22%","0,36%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0004,95197_0004,Deuil-la-Barre - 0004,925,633,"68,43%",292,"31,57%",627,"67,78%","99,05%",6,"0,65%","0,95%",0,"0,00%","0,00%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0005,95197_0005,Deuil-la-Barre - 0005,926,634,"68,47%",292,"31,53%",629,"67,93%","99,21%",4,"0,43%","0,63%",1,"0,11%","0,16%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0006,95197_0006,Deuil-la-Barre - 0006,1055,733,"69,48%",322,"30,52%",724,"68,63%","98,77%",5,"0,47%","0,68%",4,"0,38%","0,55%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0007,95197_0007,Deuil-la-Barre - 0007,699,464,"66,38%",235,"33,62%",456,"65,24%","98,28%",6,"0,86%","1,29%",2,"0,29%","0,43%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0008,95197_0008,Deuil-la-Barre - 0008,970,667,"68,76%",303,"31,24%",659,"67,94%","98,80%",8,"0,82%","1,20%",0,"0,00%","0,00%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0009,95197_0009,Deuil-la-Barre - 0009,817,490,"59,98%",327,"40,02%",482,"59,00%","98,37%",4,"0,49%","0,82%",4,"0,49%","0,82%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0010,95197_0010,Deuil-la-Barre - 0010,947,568,"59,98%",379,"40,02%",561,"59,24%","98,77%",4,"0,42%","0,70%",3,"0,32%","0,53%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0011,95197_0011,Deuil-la-Barre - 0011,1035,563,"54,40%",472,"45,60%",555,"53,62%","98,58%",4,"0,39%","0,71%",4,"0,39%","0,71%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0012,95197_0012,Deuil-la-Barre - 0012,896,581,"64,84%",315,"35,16%",565,"63,06%","97,25%",11,"1,23%","1,89%",5,"0,56%","0,86%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0013,95197_0013,Deuil-la-Barre - 0013,1117,758,"67,86%",359,"32,14%",741,"66,34%","97,76%",14,"1,25%","1,85%",3,"0,27%","0,40%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0014,95197_0014,Deuil-la-Barre - 0014,988,678,"68,62%",310,"31,38%",666,"67,41%","98,23%",10,"1,01%","1,47%",2,"0,20%","0,29%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0015,95197_0015,Deuil-la-Barre - 0015,804,553,"68,78%",251,"31,22%",545,"67,79%","98,55%",8,"1,00%","1,45%",0,"0,00%","0,00%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95197,Deuil-la-Barre,0016,95197_0016,Deuil-la-Barre - 0016,704,433,"61,51%",271,"38,49%",425,"60,37%","98,15%",6,"0,85%","1,39%",2,"0,28%","0,46%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0001,95210_0001,Enghien-les-Bains - 0001,855,609,"71,23%",246,"28,77%",601,"70,29%","98,69%",5,"0,58%","0,82%",3,"0,35%","0,49%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0002,95210_0002,Enghien-les-Bains - 0002,909,683,"75,14%",226,"24,86%",679,"74,70%","99,41%",3,"0,33%","0,44%",1,"0,11%","0,15%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0003,95210_0003,Enghien-les-Bains - 0003,989,734,"74,22%",255,"25,78%",722,"73,00%","98,37%",8,"0,81%","1,09%",4,"0,40%","0,54%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0004,95210_0004,Enghien-les-Bains - 0004,901,694,"77,03%",207,"22,97%",679,"75,36%","97,84%",8,"0,89%","1,15%",7,"0,78%","1,01%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0005,95210_0005,Enghien-les-Bains - 0005,918,687,"74,84%",231,"25,16%",674,"73,42%","98,11%",8,"0,87%","1,16%",5,"0,54%","0,73%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0006,95210_0006,Enghien-les-Bains - 0006,862,645,"74,83%",217,"25,17%",635,"73,67%","98,45%",6,"0,70%","0,93%",4,"0,46%","0,62%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0007,95210_0007,Enghien-les-Bains - 0007,928,693,"74,68%",235,"25,32%",682,"73,49%","98,41%",7,"0,75%","1,01%",4,"0,43%","0,58%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0008,95210_0008,Enghien-les-Bains - 0008,653,482,"73,81%",171,"26,19%",475,"72,74%","98,55%",6,"0,92%","1,24%",1,"0,15%","0,21%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95210,Enghien-les-Bains,0009,95210_0009,Enghien-les-Bains - 0009,684,502,"73,39%",182,"26,61%",499,"72,95%","99,40%",3,"0,44%","0,60%",0,"0,00%","0,00%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95369,Margency,0001,95369_0001,Margency - 0001,950,723,"76,11%",227,"23,89%",712,"74,95%","98,48%",10,"1,05%","1,38%",1,"0,11%","0,14%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95369,Margency,0002,95369_0002,Margency - 0002,1034,784,"75,82%",250,"24,18%",766,"74,08%","97,70%",16,"1,55%","2,04%",2,"0,19%","0,26%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0001,95427_0001,Montmagny - 0001,1027,618,"60,18%",409,"39,82%",598,"58,23%","96,76%",12,"1,17%","1,94%",8,"0,78%","1,29%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0002,95427_0002,Montmagny - 0002,1022,684,"66,93%",338,"33,07%",669,"65,46%","97,81%",11,"1,08%","1,61%",4,"0,39%","0,58%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0003,95427_0003,Montmagny - 0003,606,332,"54,79%",274,"45,21%",327,"53,96%","98,49%",5,"0,83%","1,51%",0,"0,00%","0,00%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0004,95427_0004,Montmagny - 0004,1093,661,"60,48%",432,"39,52%",650,"59,47%","98,34%",7,"0,64%","1,06%",4,"0,37%","0,61%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0005,95427_0005,Montmagny - 0005,1260,776,"61,59%",484,"38,41%",768,"60,95%","98,97%",4,"0,32%","0,52%",4,"0,32%","0,52%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0006,95427_0006,Montmagny - 0006,984,622,"63,21%",362,"36,79%",609,"61,89%","97,91%",5,"0,51%","0,80%",8,"0,81%","1,29%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0007,95427_0007,Montmagny - 0007,922,617,"66,92%",305,"33,08%",609,"66,05%","98,70%",6,"0,65%","0,97%",2,"0,22%","0,32%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95427,Montmagny,0008,95427_0008,Montmagny - 0008,930,583,"62,69%",347,"37,31%",573,"61,61%","98,28%",8,"0,86%","1,37%",2,"0,22%","0,34%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95555,Saint-Gratien,0001,95555_0001,Saint-Gratien - 0001,1191,884,"74,22%",307,"25,78%",866,"72,71%","97,96%",11,"0,92%","1,24%",7,"0,59%","0,79%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95555,Saint-Gratien,0002,95555_0002,Saint-Gratien - 0002,1278,889,"69,56%",389,"30,44%",872,"68,23%","98,09%",14,"1,10%","1,57%",3,"0,23%","0,34%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95555,Saint-Gratien,0003,95555_0003,Saint-Gratien - 0003,1444,807,"55,89%",637,"44,11%",789,"54,64%","97,77%",11,"0,76%","1,36%",7,"0,48%","0,87%",Numéro de panneau 1,1
95,Val-d'Oise,95006,95555,Saint-Gratien,0004,95555_0004,Saint-Gratien - 0004,1028,732,"71,21%",296,"28,79%",727,"70,72%","99,32%",4,"0,39%","0,55%",1,"0,10%","0,14%",Numéro de panneau 1,1
