id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
30,Gard,30006,30001,Aigaliers,0001,30001_0001,Aigaliers - 0001,421,302,"71,73%",119,"28,27%",293,"69,60%","97,02%",6,"1,43%","1,99%",3,"0,71%","0,99%",Numéro de panneau 1,1
30,Gard,30006,30014,Arpaillargues-et-Aureillac,0001,30014_0001,Arpaillargues-et-Aureillac - 0001,871,661,"75,89%",210,"24,11%",638,"73,25%","96,52%",20,"2,30%","3,03%",3,"0,34%","0,45%",Numéro de panneau 1,1
30,Gard,30006,30039,Bezouce,0001,30039_0001,Bezouce - 0001,915,689,"75,30%",226,"24,70%",675,"73,77%","97,97%",9,"0,98%","1,31%",5,"0,55%","0,73%",Numéro de panneau 1,1
30,Gard,30006,30039,Bezouce,0002,30039_0002,Bezouce - 0002,839,594,"70,80%",245,"29,20%",583,"69,49%","98,15%",9,"1,07%","1,52%",2,"0,24%","0,34%",Numéro de panneau 1,1
30,Gard,30006,30041,Blauzac,0001,30041_0001,Blauzac - 0001,1059,763,"72,05%",296,"27,95%",743,"70,16%","97,38%",16,"1,51%","2,10%",4,"0,38%","0,52%",Numéro de panneau 1,1
30,Gard,30006,30057,Cabrières,0001,30057_0001,Cabrières - 0001,1289,978,"75,87%",311,"24,13%",950,"73,70%","97,14%",25,"1,94%","2,56%",3,"0,23%","0,31%",Numéro de panneau 1,1
30,Gard,30006,30067,La Capelle-et-Masmolène,0001,30067_0001,La Capelle-et-Masmolène - 0001,376,286,"76,06%",90,"23,94%",283,"75,27%","98,95%",2,"0,53%","0,70%",1,"0,27%","0,35%",Numéro de panneau 1,1
30,Gard,30006,30110,Flaux,0001,30110_0001,Flaux - 0001,296,239,"80,74%",57,"19,26%",233,"78,72%","97,49%",5,"1,69%","2,09%",1,"0,34%","0,42%",Numéro de panneau 1,1
30,Gard,30006,30145,Lédenon,0001,30145_0001,Lédenon - 0001,1284,944,"73,52%",340,"26,48%",928,"72,27%","98,31%",9,"0,70%","0,95%",7,"0,55%","0,74%",Numéro de panneau 1,1
30,Gard,30006,30155,Manduel,0001,30155_0001,Manduel - 0001,1025,639,"62,34%",386,"37,66%",623,"60,78%","97,50%",11,"1,07%","1,72%",5,"0,49%","0,78%",Numéro de panneau 1,1
30,Gard,30006,30155,Manduel,0002,30155_0002,Manduel - 0002,1096,784,"71,53%",312,"28,47%",766,"69,89%","97,70%",12,"1,09%","1,53%",6,"0,55%","0,77%",Numéro de panneau 1,1
30,Gard,30006,30155,Manduel,0003,30155_0003,Manduel - 0003,1091,751,"68,84%",340,"31,16%",742,"68,01%","98,80%",9,"0,82%","1,20%",0,"0,00%","0,00%",Numéro de panneau 1,1
