Code localisation,Libellé localisation,id_dep,Libellé département,id_circo,codeCommune,Libellé commune,codeBV,codeBureauVote,bv_lib,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0009,78423_0009,Montigny-le-Bretonneux - 0009,1432,781,"54,54%",651,"45,46%",775,"54,12%","99,23%",4,"0,28%","0,51%",2,"0,14%","0,26%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0010,78423_0010,Montigny-le-Bretonneux - 0010,1113,719,"64,60%",394,"35,40%",706,"63,43%","98,19%",9,"0,81%","1,25%",4,"0,36%","0,56%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0011,78423_0011,Montigny-le-Bretonneux - 0011,1171,731,"62,43%",440,"37,57%",720,"61,49%","98,50%",9,"0,77%","1,23%",2,"0,17%","0,27%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0012,78423_0012,Montigny-le-Bretonneux - 0012,1406,743,"52,84%",663,"47,16%",724,"51,49%","97,44%",8,"0,57%","1,08%",11,"0,78%","1,48%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0013,78423_0013,Montigny-le-Bretonneux - 0013,1319,690,"52,31%",629,"47,69%",685,"51,93%","99,28%",3,"0,23%","0,43%",2,"0,15%","0,29%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0014,78423_0014,Montigny-le-Bretonneux - 0014,1231,794,"64,50%",437,"35,50%",784,"63,69%","98,74%",7,"0,57%","0,88%",3,"0,24%","0,38%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0015,78423_0015,Montigny-le-Bretonneux - 0015,1387,876,"63,16%",511,"36,84%",861,"62,08%","98,29%",6,"0,43%","0,68%",9,"0,65%","1,03%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0016,78423_0016,Montigny-le-Bretonneux - 0016,1307,840,"64,27%",467,"35,73%",827,"63,27%","98,45%",9,"0,69%","1,07%",4,"0,31%","0,48%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0017,78423_0017,Montigny-le-Bretonneux - 0017,1098,691,"62,93%",407,"37,07%",680,"61,93%","98,41%",8,"0,73%","1,16%",3,"0,27%","0,43%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78423,Montigny-le-Bretonneux,0018,78423_0018,Montigny-le-Bretonneux - 0018,1302,796,"61,14%",506,"38,86%",783,"60,14%","98,37%",8,"0,61%","1,01%",5,"0,38%","0,63%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0013,78646_0013,Versailles - 0013,1243,841,"67,66%",402,"32,34%",830,"66,77%","98,69%",10,"0,80%","1,19%",1,"0,08%","0,12%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0014,78646_0014,Versailles - 0014,1115,677,"60,72%",438,"39,28%",670,"60,09%","98,97%",3,"0,27%","0,44%",4,"0,36%","0,59%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0015,78646_0015,Versailles - 0015,1337,849,"63,50%",488,"36,50%",842,"62,98%","99,18%",5,"0,37%","0,59%",2,"0,15%","0,24%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0016,78646_0016,Versailles - 0016,1452,911,"62,74%",541,"37,26%",906,"62,40%","99,45%",4,"0,28%","0,44%",1,"0,07%","0,11%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0017,78646_0017,Versailles - 0017,1778,1144,"64,34%",634,"35,66%",1132,"63,67%","98,95%",5,"0,28%","0,44%",7,"0,39%","0,61%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0018,78646_0018,Versailles - 0018,1410,904,"64,11%",506,"35,89%",899,"63,76%","99,45%",2,"0,14%","0,22%",3,"0,21%","0,33%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0019,78646_0019,Versailles - 0019,1468,950,"64,71%",518,"35,29%",947,"64,51%","99,68%",1,"0,07%","0,11%",2,"0,14%","0,21%",Nuance liste 1,LDIV
FE,France entière,78,Yvelines,78001,78646,Versailles,0020,78646_0020,Versailles - 0020,1631,1086,"66,58%",545,"33,42%",1085,"66,52%","99,91%",1,"0,06%","0,09%",0,"0,00%","0,00%",Nuance liste 1,LDIV
