id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,2A001,2A001,Afa,0001,2A001_0001,Afa - 0001,801,535,"66,79%",266,"33,21%",525,"65,54%","98,13%",7,"0,87%","1,31%",3,"0,37%","0,56%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A001,Afa,0002,2A001_0002,Afa - 0002,796,510,"64,07%",286,"35,93%",506,"63,57%","99,22%",4,"0,50%","0,78%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A001,Afa,0003,2A001_0003,Afa - 0003,831,528,"63,54%",303,"36,46%",517,"62,21%","97,92%",9,"1,08%","1,70%",2,"0,24%","0,38%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0001,2A004_0001,Ajaccio - 0001,949,642,"67,65%",307,"32,35%",634,"66,81%","98,75%",5,"0,53%","0,78%",3,"0,32%","0,47%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0002,2A004_0002,Ajaccio - 0002,919,648,"70,51%",271,"29,49%",638,"69,42%","98,46%",5,"0,54%","0,77%",5,"0,54%","0,77%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0003,2A004_0003,Ajaccio - 0003,962,662,"68,81%",300,"31,19%",649,"67,46%","98,04%",11,"1,14%","1,66%",2,"0,21%","0,30%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0004,2A004_0004,Ajaccio - 0004,912,635,"69,63%",277,"30,37%",624,"68,42%","98,27%",9,"0,99%","1,42%",2,"0,22%","0,31%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0005,2A004_0005,Ajaccio - 0005,1044,737,"70,59%",307,"29,41%",727,"69,64%","98,64%",6,"0,57%","0,81%",4,"0,38%","0,54%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0006,2A004_0006,Ajaccio - 0006,733,503,"68,62%",230,"31,38%",492,"67,12%","97,81%",8,"1,09%","1,59%",3,"0,41%","0,60%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0007,2A004_0007,Ajaccio - 0007,594,421,"70,88%",173,"29,12%",415,"69,87%","98,57%",6,"1,01%","1,43%",0,"0,00%","0,00%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0008,2A004_0008,Ajaccio - 0008,634,445,"70,19%",189,"29,81%",437,"68,93%","98,20%",5,"0,79%","1,12%",3,"0,47%","0,67%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0009,2A004_0009,Ajaccio - 0009,876,624,"71,23%",252,"28,77%",614,"70,09%","98,40%",5,"0,57%","0,80%",5,"0,57%","0,80%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0010,2A004_0010,Ajaccio - 0010,1176,831,"70,66%",345,"29,34%",813,"69,13%","97,83%",12,"1,02%","1,44%",6,"0,51%","0,72%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0011,2A004_0011,Ajaccio - 0011,821,599,"72,96%",222,"27,04%",589,"71,74%","98,33%",3,"0,37%","0,50%",7,"0,85%","1,17%",Numéro de panneau 1,1
2A,Corse-du-Sud,2A001,2A004,Ajaccio,0012,2A004_0012,Ajaccio - 0012,891,618,"69,36%",273,"30,64%",609,"68,35%","98,54%",5,"0,56%","0,81%",4,"0,45%","0,65%",Numéro de panneau 1,1
