id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
72,Sarthe,72002,72007,Ardenay-sur-Mérize,0001,72007_0001,Ardenay-sur-Mérize - 0001,416,297,"71,39%",119,"28,61%",294,"70,67%","98,99%",3,"0,72%","1,01%",0,"0,00%","0,00%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0001,72008_0001,Arnage - 0001,913,558,"61,12%",355,"38,88%",531,"58,16%","95,16%",20,"2,19%","3,58%",7,"0,77%","1,25%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0002,72008_0002,Arnage - 0002,677,422,"62,33%",255,"37,67%",406,"59,97%","96,21%",9,"1,33%","2,13%",7,"1,03%","1,66%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0003,72008_0003,Arnage - 0003,790,551,"69,75%",239,"30,25%",529,"66,96%","96,01%",19,"2,41%","3,45%",3,"0,38%","0,54%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0004,72008_0004,Arnage - 0004,738,511,"69,24%",227,"30,76%",495,"67,07%","96,87%",10,"1,36%","1,96%",6,"0,81%","1,17%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0005,72008_0005,Arnage - 0005,579,375,"64,77%",204,"35,23%",362,"62,52%","96,53%",9,"1,55%","2,40%",4,"0,69%","1,07%",Numéro de panneau 1,1
72,Sarthe,72002,72008,Arnage,0006,72008_0006,Arnage - 0006,667,466,"69,87%",201,"30,13%",456,"68,37%","97,85%",8,"1,20%","1,72%",2,"0,30%","0,43%",Numéro de panneau 1,1
72,Sarthe,72002,72042,Bouloire,0001,72042_0001,Bouloire - 0001,1618,1012,"62,55%",606,"37,45%",976,"60,32%","96,44%",23,"1,42%","2,27%",13,"0,80%","1,28%",Numéro de panneau 1,1
72,Sarthe,72002,72046,Le Breil-sur-Mérize,0001,72046_0001,Le Breil-sur-Mérize - 0001,1045,703,"67,27%",342,"32,73%",680,"65,07%","96,73%",15,"1,44%","2,13%",8,"0,77%","1,14%",Numéro de panneau 1,1
72,Sarthe,72002,72053,Challes,0001,72053_0001,Challes - 0001,940,620,"65,96%",320,"34,04%",591,"62,87%","95,32%",20,"2,13%","3,23%",9,"0,96%","1,45%",Numéro de panneau 1,1
72,Sarthe,72002,72054,Champagné,0001,72054_0001,Champagné - 0001,782,536,"68,54%",246,"31,46%",514,"65,73%","95,90%",18,"2,30%","3,36%",4,"0,51%","0,75%",Numéro de panneau 1,1
72,Sarthe,72002,72054,Champagné,0002,72054_0002,Champagné - 0002,831,555,"66,79%",276,"33,21%",549,"66,06%","98,92%",3,"0,36%","0,54%",3,"0,36%","0,54%",Numéro de panneau 1,1
72,Sarthe,72002,72054,Champagné,0003,72054_0003,Champagné - 0003,954,661,"69,29%",293,"30,71%",639,"66,98%","96,67%",13,"1,36%","1,97%",9,"0,94%","1,36%",Numéro de panneau 1,1
72,Sarthe,72002,72058,Changé,0001,72058_0001,Changé - 0001,1153,816,"70,77%",337,"29,23%",793,"68,78%","97,18%",9,"0,78%","1,10%",14,"1,21%","1,72%",Numéro de panneau 1,1
72,Sarthe,72002,72058,Changé,0002,72058_0002,Changé - 0002,1192,802,"67,28%",390,"32,72%",772,"64,77%","96,26%",24,"2,01%","2,99%",6,"0,50%","0,75%",Numéro de panneau 1,1
72,Sarthe,72002,72058,Changé,0003,72058_0003,Changé - 0003,1294,799,"61,75%",495,"38,25%",786,"60,74%","98,37%",10,"0,77%","1,25%",3,"0,23%","0,38%",Numéro de panneau 1,1
72,Sarthe,72002,72058,Changé,0004,72058_0004,Changé - 0004,1033,734,"71,06%",299,"28,94%",717,"69,41%","97,68%",10,"0,97%","1,36%",7,"0,68%","0,95%",Numéro de panneau 1,1
72,Sarthe,72002,72058,Changé,0005,72058_0005,Changé - 0005,1096,790,"72,08%",306,"27,92%",771,"70,35%","97,59%",15,"1,37%","1,90%",4,"0,36%","0,51%",Numéro de panneau 1,1
72,Sarthe,72002,72090,Connerré,0001,72090_0001,Connerré - 0001,1061,690,"65,03%",371,"34,97%",666,"62,77%","96,52%",12,"1,13%","1,74%",12,"1,13%","1,74%",Numéro de panneau 1,1
72,Sarthe,72002,72090,Connerré,0002,72090_0002,Connerré - 0002,1046,640,"61,19%",406,"38,81%",619,"59,18%","96,72%",13,"1,24%","2,03%",8,"0,76%","1,25%",Numéro de panneau 1,1
72,Sarthe,72002,72094,Coudrecieux,0001,72094_0001,Coudrecieux - 0001,448,325,"72,54%",123,"27,46%",310,"69,20%","95,38%",12,"2,68%","3,69%",3,"0,67%","0,92%",Numéro de panneau 1,1
72,Sarthe,72002,72129,Fatines,0001,72129_0001,Fatines - 0001,756,528,"69,84%",228,"30,16%",508,"67,20%","96,21%",14,"1,85%","2,65%",6,"0,79%","1,14%",Numéro de panneau 1,1
72,Sarthe,72002,72165,Lombron,0001,72165_0001,Lombron - 0001,767,531,"69,23%",236,"30,77%",515,"67,14%","96,99%",10,"1,30%","1,88%",6,"0,78%","1,13%",Numéro de panneau 1,1
72,Sarthe,72002,72165,Lombron,0002,72165_0002,Lombron - 0002,739,536,"72,53%",203,"27,47%",523,"70,77%","97,57%",11,"1,49%","2,05%",2,"0,27%","0,37%",Numéro de panneau 1,1
72,Sarthe,72002,72178,Maisoncelles,0001,72178_0001,Maisoncelles - 0001,153,106,"69,28%",47,"30,72%",101,"66,01%","95,28%",4,"2,61%","3,77%",1,"0,65%","0,94%",Numéro de panneau 1,1
72,Sarthe,72002,72181,Le Mans,0035,72181_0035,Le Mans - 0035,939,571,"60,81%",368,"39,19%",557,"59,32%","97,55%",14,"1,49%","2,45%",0,"0,00%","0,00%",Numéro de panneau 1,1
