id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
93,Seine-Saint-Denis,93009,93010,Bondy,0001,93010_0001,Bondy - 0001,771,468,"60,70%",303,"39,30%",454,"58,88%","97,01%",11,"1,43%","2,35%",3,"0,39%","0,64%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0002,93010_0002,Bondy - 0002,816,534,"65,44%",282,"34,56%",521,"63,85%","97,57%",11,"1,35%","2,06%",2,"0,25%","0,37%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0003,93010_0003,Bondy - 0003,1017,586,"57,62%",431,"42,38%",578,"56,83%","98,63%",7,"0,69%","1,19%",1,"0,10%","0,17%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0004,93010_0004,Bondy - 0004,936,506,"54,06%",430,"45,94%",489,"52,24%","96,64%",11,"1,18%","2,17%",6,"0,64%","1,19%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0005,93010_0005,Bondy - 0005,848,481,"56,72%",367,"43,28%",470,"55,42%","97,71%",4,"0,47%","0,83%",7,"0,83%","1,46%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0006,93010_0006,Bondy - 0006,907,514,"56,67%",393,"43,33%",503,"55,46%","97,86%",8,"0,88%","1,56%",3,"0,33%","0,58%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0007,93010_0007,Bondy - 0007,872,459,"52,64%",413,"47,36%",440,"50,46%","95,86%",12,"1,38%","2,61%",7,"0,80%","1,53%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0012,93010_0012,Bondy - 0012,647,351,"54,25%",296,"45,75%",342,"52,86%","97,44%",6,"0,93%","1,71%",3,"0,46%","0,85%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0018,93010_0018,Bondy - 0018,752,457,"60,77%",295,"39,23%",441,"58,64%","96,50%",12,"1,60%","2,63%",4,"0,53%","0,88%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0019,93010_0019,Bondy - 0019,645,416,"64,50%",229,"35,50%",404,"62,64%","97,12%",8,"1,24%","1,92%",4,"0,62%","0,96%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0020,93010_0020,Bondy - 0020,818,465,"56,85%",353,"43,15%",456,"55,75%","98,06%",7,"0,86%","1,51%",2,"0,24%","0,43%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0021,93010_0021,Bondy - 0021,915,480,"52,46%",435,"47,54%",469,"51,26%","97,71%",5,"0,55%","1,04%",6,"0,66%","1,25%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0022,93010_0022,Bondy - 0022,619,328,"52,99%",291,"47,01%",322,"52,02%","98,17%",4,"0,65%","1,22%",2,"0,32%","0,61%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0024,93010_0024,Bondy - 0024,855,468,"54,74%",387,"45,26%",457,"53,45%","97,65%",7,"0,82%","1,50%",4,"0,47%","0,85%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0025,93010_0025,Bondy - 0025,918,457,"49,78%",461,"50,22%",446,"48,58%","97,59%",8,"0,87%","1,75%",3,"0,33%","0,66%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93010,Bondy,0029,93010_0029,Bondy - 0029,607,352,"57,99%",255,"42,01%",333,"54,86%","94,60%",15,"2,47%","4,26%",4,"0,66%","1,14%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0001,93045_0001,Les Lilas - 0001,1042,748,"71,79%",294,"28,21%",734,"70,44%","98,13%",10,"0,96%","1,34%",4,"0,38%","0,53%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0002,93045_0002,Les Lilas - 0002,1152,879,"76,30%",273,"23,70%",860,"74,65%","97,84%",18,"1,56%","2,05%",1,"0,09%","0,11%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0003,93045_0003,Les Lilas - 0003,914,684,"74,84%",230,"25,16%",676,"73,96%","98,83%",6,"0,66%","0,88%",2,"0,22%","0,29%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0004,93045_0004,Les Lilas - 0004,970,715,"73,71%",255,"26,29%",700,"72,16%","97,90%",12,"1,24%","1,68%",3,"0,31%","0,42%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0005,93045_0005,Les Lilas - 0005,956,754,"78,87%",202,"21,13%",742,"77,62%","98,41%",8,"0,84%","1,06%",4,"0,42%","0,53%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0006,93045_0006,Les Lilas - 0006,1034,684,"66,15%",350,"33,85%",664,"64,22%","97,08%",13,"1,26%","1,90%",7,"0,68%","1,02%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0007,93045_0007,Les Lilas - 0007,1032,638,"61,82%",394,"38,18%",624,"60,47%","97,81%",9,"0,87%","1,41%",5,"0,48%","0,78%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0008,93045_0008,Les Lilas - 0008,1171,721,"61,57%",450,"38,43%",700,"59,78%","97,09%",14,"1,20%","1,94%",7,"0,60%","0,97%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0009,93045_0009,Les Lilas - 0009,769,442,"57,48%",327,"42,52%",432,"56,18%","97,74%",4,"0,52%","0,90%",6,"0,78%","1,36%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0010,93045_0010,Les Lilas - 0010,826,594,"71,91%",232,"28,09%",585,"70,82%","98,48%",7,"0,85%","1,18%",2,"0,24%","0,34%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0011,93045_0011,Les Lilas - 0011,1037,795,"76,66%",242,"23,34%",778,"75,02%","97,86%",11,"1,06%","1,38%",6,"0,58%","0,75%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0012,93045_0012,Les Lilas - 0012,879,634,"72,13%",245,"27,87%",617,"70,19%","97,32%",13,"1,48%","2,05%",4,"0,46%","0,63%",Numéro de panneau 1,1
93,Seine-Saint-Denis,93009,93045,Les Lilas,0013,93045_0013,Les Lilas - 0013,1071,737,"68,81%",334,"31,19%",720,"67,23%","97,69%",12,"1,12%","1,63%",5,"0,47%","0,68%",Numéro de panneau 1,1
