id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0001,62014_0001,Aire-sur-la-Lys - 0001,1126,641,"56,93%",485,"43,07%",623,"55,33%","97,19%",0,"0,00%","0,00%",18,"1,60%","2,81%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0002,62014_0002,Aire-sur-la-Lys - 0002,1160,724,"62,41%",436,"37,59%",699,"60,26%","96,55%",16,"1,38%","2,21%",9,"0,78%","1,24%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0003,62014_0003,Aire-sur-la-Lys - 0003,1221,831,"68,06%",390,"31,94%",811,"66,42%","97,59%",10,"0,82%","1,20%",10,"0,82%","1,20%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0004,62014_0004,Aire-sur-la-Lys - 0004,1072,721,"67,26%",351,"32,74%",701,"65,39%","97,23%",16,"1,49%","2,22%",4,"0,37%","0,55%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0005,62014_0005,Aire-sur-la-Lys - 0005,977,546,"55,89%",431,"44,11%",528,"54,04%","96,70%",8,"0,82%","1,47%",10,"1,02%","1,83%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0006,62014_0006,Aire-sur-la-Lys - 0006,866,532,"61,43%",334,"38,57%",526,"60,74%","98,87%",3,"0,35%","0,56%",3,"0,35%","0,56%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62014,Aire-sur-la-Lys,0007,62014_0007,Aire-sur-la-Lys - 0007,1210,842,"69,59%",368,"30,41%",824,"68,10%","97,86%",8,"0,66%","0,95%",10,"0,83%","1,19%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62028,Ames,0001,62028_0001,Ames - 0001,505,362,"71,68%",143,"28,32%",355,"70,30%","98,07%",2,"0,40%","0,55%",5,"0,99%","1,38%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62029,Amettes,0001,62029_0001,Amettes - 0001,347,262,"75,50%",85,"24,50%",259,"74,64%","98,85%",2,"0,58%","0,76%",1,"0,29%","0,38%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0001,62040_0001,Arques - 0001,852,539,"63,26%",313,"36,74%",526,"61,74%","97,59%",6,"0,70%","1,11%",7,"0,82%","1,30%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0002,62040_0002,Arques - 0002,501,333,"66,47%",168,"33,53%",326,"65,07%","97,90%",4,"0,80%","1,20%",3,"0,60%","0,90%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0003,62040_0003,Arques - 0003,812,426,"52,46%",386,"47,54%",422,"51,97%","99,06%",4,"0,49%","0,94%",0,"0,00%","0,00%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0004,62040_0004,Arques - 0004,593,361,"60,88%",232,"39,12%",355,"59,87%","98,34%",1,"0,17%","0,28%",5,"0,84%","1,39%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0005,62040_0005,Arques - 0005,826,538,"65,13%",288,"34,87%",522,"63,20%","97,03%",7,"0,85%","1,30%",9,"1,09%","1,67%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0006,62040_0006,Arques - 0006,661,382,"57,79%",279,"42,21%",372,"56,28%","97,38%",5,"0,76%","1,31%",5,"0,76%","1,31%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0007,62040_0007,Arques - 0007,823,491,"59,66%",332,"40,34%",479,"58,20%","97,56%",7,"0,85%","1,43%",5,"0,61%","1,02%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0008,62040_0008,Arques - 0008,1024,619,"60,45%",405,"39,55%",608,"59,38%","98,22%",4,"0,39%","0,65%",7,"0,68%","1,13%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62040,Arques,0009,62040_0009,Arques - 0009,973,638,"65,57%",335,"34,43%",623,"64,03%","97,65%",11,"1,13%","1,72%",4,"0,41%","0,63%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62048,Auchel,0001,62048_0001,Auchel - 0001,968,502,"51,86%",466,"48,14%",489,"50,52%","97,41%",10,"1,03%","1,99%",3,"0,31%","0,60%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62048,Auchel,0002,62048_0002,Auchel - 0002,1095,606,"55,34%",489,"44,66%",588,"53,70%","97,03%",9,"0,82%","1,49%",9,"0,82%","1,49%",Numéro de panneau 1,1
62,Pas-de-Calais,62008,62048,Auchel,0003,62048_0003,Auchel - 0003,464,186,"40,09%",278,"59,91%",185,"39,87%","99,46%",0,"0,00%","0,00%",1,"0,22%","0,54%",Numéro de panneau 1,1
