id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
60,Oise,60007,60006,Les Ageux,0001,60006_0001,Les Ageux - 0001,923,593,"64,25%",330,"35,75%",576,"62,41%","97,13%",12,"1,30%","2,02%",5,"0,54%","0,84%",Numéro de panneau 1,1
60,Oise,60007,60007,Agnetz,0001,60007_0001,Agnetz - 0001,727,528,"72,63%",199,"27,37%",519,"71,39%","98,30%",7,"0,96%","1,33%",2,"0,28%","0,38%",Numéro de panneau 1,1
60,Oise,60007,60007,Agnetz,0002,60007_0002,Agnetz - 0002,872,634,"72,71%",238,"27,29%",629,"72,13%","99,21%",3,"0,34%","0,47%",2,"0,23%","0,32%",Numéro de panneau 1,1
60,Oise,60007,60007,Agnetz,0003,60007_0003,Agnetz - 0003,889,629,"70,75%",260,"29,25%",621,"69,85%","98,73%",4,"0,45%","0,64%",4,"0,45%","0,64%",Numéro de panneau 1,1
60,Oise,60007,60008,Airion,0001,60008_0001,Airion - 0001,284,196,"69,01%",88,"30,99%",192,"67,61%","97,96%",4,"1,41%","2,04%",0,"0,00%","0,00%",Numéro de panneau 1,1
60,Oise,60007,60013,Angicourt,0001,60013_0001,Angicourt - 0001,1084,725,"66,88%",359,"33,12%",710,"65,50%","97,93%",14,"1,29%","1,93%",1,"0,09%","0,14%",Numéro de panneau 1,1
60,Oise,60007,60015,Angy,0001,60015_0001,Angy - 0001,808,608,"75,25%",200,"24,75%",595,"73,64%","97,86%",11,"1,36%","1,81%",2,"0,25%","0,33%",Numéro de panneau 1,1
60,Oise,60007,60016,Ansacq,0001,60016_0001,Ansacq - 0001,221,161,"72,85%",60,"27,15%",158,"71,49%","98,14%",1,"0,45%","0,62%",2,"0,90%","1,24%",Numéro de panneau 1,1
60,Oise,60007,60034,Avrechy,0001,60034_0001,Avrechy - 0001,905,630,"69,61%",275,"30,39%",613,"67,73%","97,30%",12,"1,33%","1,90%",5,"0,55%","0,79%",Numéro de panneau 1,1
60,Oise,60007,60036,Avrigny,0001,60036_0001,Avrigny - 0001,291,237,"81,44%",54,"18,56%",233,"80,07%","98,31%",1,"0,34%","0,42%",3,"1,03%","1,27%",Numéro de panneau 1,1
60,Oise,60007,60040,Bailleul-le-Soc,0001,60040_0001,Bailleul-le-Soc - 0001,515,341,"66,21%",174,"33,79%",333,"64,66%","97,65%",6,"1,17%","1,76%",2,"0,39%","0,59%",Numéro de panneau 1,1
60,Oise,60007,60042,Bailleval,0001,60042_0001,Bailleval - 0001,1189,815,"68,54%",374,"31,46%",806,"67,79%","98,90%",7,"0,59%","0,86%",2,"0,17%","0,25%",Numéro de panneau 1,1
