id_dep,libDep,id_circo,id_com,libCom,codeBV,id_bv,libBv,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
22,Côtes-d'Armor,22002,22003,Aucaleuc,0001,22003_0001,Aucaleuc - 0001,742,542,"73,05%",200,"26,95%",532,"71,70%","98,15%",7,"0,94%","1,29%",3,"0,40%","0,55%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22008,Bobital,0001,22008_0001,Bobital - 0001,944,715,"75,74%",229,"24,26%",696,"73,73%","97,34%",9,"0,95%","1,26%",10,"1,06%","1,40%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22012,La Bouillie,0001,22012_0001,La Bouillie - 0001,680,508,"74,71%",172,"25,29%",497,"73,09%","97,83%",5,"0,74%","0,98%",6,"0,88%","1,18%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22014,Bourseul,0001,22014_0001,Bourseul - 0001,857,667,"77,83%",190,"22,17%",657,"76,66%","98,50%",5,"0,58%","0,75%",5,"0,58%","0,75%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22020,Broons,0001,22020_0001,Broons - 0001,709,495,"69,82%",214,"30,18%",485,"68,41%","97,98%",2,"0,28%","0,40%",8,"1,13%","1,62%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22020,Broons,0002,22020_0002,Broons - 0002,715,539,"75,38%",176,"24,62%",529,"73,99%","98,14%",3,"0,42%","0,56%",7,"0,98%","1,30%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22020,Broons,0003,22020_0003,Broons - 0003,695,517,"74,39%",178,"25,61%",500,"71,94%","96,71%",9,"1,29%","1,74%",8,"1,15%","1,55%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22021,Brusvily,0001,22021_0001,Brusvily - 0001,909,665,"73,16%",244,"26,84%",653,"71,84%","98,20%",6,"0,66%","0,90%",6,"0,66%","0,90%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22026,Calorguen,0001,22026_0001,Calorguen - 0001,601,419,"69,72%",182,"30,28%",408,"67,89%","97,37%",8,"1,33%","1,91%",3,"0,50%","0,72%",Numéro de panneau 1,1
22,Côtes-d'Armor,22002,22032,Caulnes,0001,22032_0001,Caulnes - 0001,946,686,"72,52%",260,"27,48%",669,"70,72%","97,52%",7,"0,74%","1,02%",10,"1,06%","1,46%",Numéro de panneau 1,1
