,63
id_circo,14004
Nom de la circonscription,Calvados  - 4e circonscription
Inscrit_22,104420
pop_légal_19,125987
pop_légal_13,124737
tvar_pop,0.2
pop_pole_aav,32.6
pop_cour_aav,64.1
pop_horsaav,3.4
pop_urb,56.5
pop_rur_periu,19.7
pop_rur_non_periu,23.8
age_moyen,45.3
dec90,77
dec75,65
dec50,48
dec25,24
dec10,10
actemp,39.5
actcho,5.2
inactret,30.3
inactetu,6.0
inactm14,14.5
inactaut,4.5
actemp_hom,41.8
actcho_hom,5.5
inactret_hom,27.8
inactetu_hom,6.2
inactm14_hom,15.6
inactaut_hom,3.0
actemp_fem,37.4
actcho_fem,4.9
inactret_fem,32.5
inactetu_fem,5.9
inactm14_fem,13.5
inactaut_fem,5.8
actdip_PEU,17.7
actdip_CAP,29.7
actdip_BAC,20.6
actdip_BAC2,13.0
actdip_BAC3,9.3
actdip_BAC5,9.7
actdip_BAC3P,19.0
act_agr,1.2
act_art,9.4
act_cad,12.3
act_int,22.4
act_emp,31.6
act_ouv,22.3
act_cho,0.8
log_res,50.2
log_sec,45.3
log_vac,4.5
proprio,61.4
locatai,36.5
gratuit,2.1
maison,72
ach90,63
mfuel,8.9
men_seul,36
men_coupae,23.7
men_coupse,30.1
men_monop,8.8
men_sfam,1.4
men_seul_com,36.0
men_coupse_com,30.0
men_coupae_com,23.6
men_monop_com,8.8
men_complexe_com,1.6
seul_hom1829,11.8
seul_hom3059,15.5
seul_hom6074,19.5
seul_hom7584,22.2
seul_hom85,28.9
seul_fem1829,10.9
seul_fem3059,12.3
seul_fem6074,30.6
seul_fem7584,47.6
seul_fem85,56.5
iranr_log,89
iranr_com,2.6
iranr_dep,5.5
iranr_fra,2.8
iranr_etr,0.1
mobresid,5.4
ilt_com,25.4
ilt_dep,65.6
ilt_fra,8.9
ilt_etr,0.2
mobtrav,42.1
modtrans_aucun,5.3
modtrans_pied,5.6
modtrans_velo,1.7
modtrans_moto,1.5
modtrans_voit,82.6
modtrans_commun,3.3
tx_pauvrete60_diff,11
nivvie_median_diff,22290
part_pauvres_diff,11
part_modestes_diff,26.7
part_medians_diff,28.7
part_plutot_aises_diff,23.8
part_aises_diff,9.9
D1_diff,12800
D9_diff,39360
rpt_D9_D1_diff,3.1
tx_pauvrete60_diff_trageRF1,17.5
tx_pauvrete60_diff_trageRF2,13.4
tx_pauvrete60_diff_trageRF3,13.6
tx_pauvrete60_diff_trageRF4,11.3
tx_pauvrete60_diff_trageRF5,7.6
tx_pauvrete60_diff_trageRF6,7.1
PACT,63.5
PPEN,36.8
PPAT,12.4
PPSOC,4.6
PIMPOT,-17.3
acc_ecole,84.8
acc_college,38.6
acc_lycee,17
acc_medecin,72.2
acc_dentiste,51.5
acc_pharmacie,66.3
part_eloig,12.1
