,425
id_circo,78001
Nom de la circonscription,Yvelines  - 1re circonscription
Inscrit_22,83285
pop_légal_19,121778
pop_légal_13,122067
tvar_pop,0.0
pop_pole_aav,100
pop_cour_aav,0
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,38.7
dec90,71
dec75,56
dec50,38
dec25,19
dec10,8
actemp,45.8
actcho,4.4
inactret,16.6
inactetu,10.9
inactm14,17.8
inactaut,4.5
actemp_hom,48.6
actcho_hom,4.3
inactret_hom,15.1
inactetu_hom,11.4
inactm14_hom,18.7
inactaut_hom,1.8
actemp_fem,43.1
actcho_fem,4.5
inactret_fem,18.1
inactetu_fem,10.4
inactm14_fem,16.9
inactaut_fem,7.0
actdip_PEU,9.1
actdip_CAP,10.9
actdip_BAC,14.1
actdip_BAC2,13.3
actdip_BAC3,15
actdip_BAC5,37.6
actdip_BAC3P,52.6
act_agr,0.0
act_art,3.7
act_cad,42.4
act_int,25.0
act_emp,20.6
act_ouv,7.3
act_cho,0.9
log_res,90.8
log_sec,3.4
log_vac,5.8
proprio,48.8
locatai,49.4
gratuit,1.8
maison,19.1
ach90,76.3
mfuel,0.6
men_seul,37.3
men_coupae,28.3
men_coupse,23.2
men_monop,9.5
men_sfam,1.8
men_seul_com,37.3
men_coupse_com,23.0
men_coupae_com,28.2
men_monop_com,9.5
men_complexe_com,2.0
seul_hom1829,22.5
seul_hom3059,18.7
seul_hom6074,18.4
seul_hom7584,18.5
seul_hom85,25.7
seul_fem1829,21.2
seul_fem3059,13.3
seul_fem6074,30.9
seul_fem7584,45.9
seul_fem85,58.7
iranr_log,87.4
iranr_com,4.1
iranr_dep,3
iranr_fra,4.6
iranr_etr,0.9
mobresid,7.9
ilt_com,26.4
ilt_dep,32.2
ilt_fra,41
ilt_etr,0.3
mobtrav,63
modtrans_aucun,3.5
modtrans_pied,8
modtrans_velo,2.6
modtrans_moto,2.5
modtrans_voit,48.9
modtrans_commun,34.5
tx_pauvrete60_diff,8.2
nivvie_median_diff,29990
part_pauvres_diff,8.2
part_modestes_diff,14.6
part_medians_diff,17.4
part_plutot_aises_diff,30.6
part_aises_diff,29.2
D1_diff,14110
D9_diff,57160
rpt_D9_D1_diff,4.1
tx_pauvrete60_diff_trageRF1,17.1
tx_pauvrete60_diff_trageRF2,9.3
tx_pauvrete60_diff_trageRF3,8.8
tx_pauvrete60_diff_trageRF4,7.8
tx_pauvrete60_diff_trageRF5,5.5
tx_pauvrete60_diff_trageRF6,5
PACT,87.4
PPEN,23.1
PPAT,11.8
PPSOC,2.9
PIMPOT,-25.2
acc_ecole,100
acc_college,100
acc_lycee,100
acc_medecin,100
acc_dentiste,100
acc_pharmacie,100
part_eloig,0
