,431
id_circo,78007
Nom de la circonscription,Yvelines  - 7e circonscription
Inscrit_22,80234
pop_légal_19,123327
pop_légal_13,118448
tvar_pop,0.7
pop_pole_aav,82.8
pop_cour_aav,17.2
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,38.2
dec90,70
dec75,56
dec50,38
dec25,17
dec10,7
actemp,43.9
actcho,5.4
inactret,17.5
inactetu,8.2
inactm14,20.0
inactaut,5.0
actemp_hom,45.9
actcho_hom,5.5
inactret_hom,16.1
inactetu_hom,8.3
inactm14_hom,21.2
inactaut_hom,3.0
actemp_fem,42.1
actcho_fem,5.2
inactret_fem,18.9
inactetu_fem,8.1
inactm14_fem,18.9
inactaut_fem,6.9
actdip_PEU,13.3
actdip_CAP,18.2
actdip_BAC,19.4
actdip_BAC2,16.3
actdip_BAC3,13.9
actdip_BAC5,18.9
actdip_BAC3P,32.8
act_agr,0.1
act_art,4.6
act_cad,26.1
act_int,28.6
act_emp,25.2
act_ouv,14.0
act_cho,1.4
log_res,91.5
log_sec,1.6
log_vac,6.9
proprio,62.1
locatai,36.4
gratuit,1.5
maison,53.8
ach90,74.4
mfuel,5.4
men_seul,28.5
men_coupae,34.9
men_coupse,23.9
men_monop,11.1
men_sfam,1.5
men_seul_com,28.5
men_coupse_com,23.8
men_coupae_com,34.6
men_monop_com,11.0
men_complexe_com,2.1
seul_hom1829,9.3
seul_hom3059,13.1
seul_hom6074,14.8
seul_hom7584,18.9
seul_hom85,27.8
seul_fem1829,8.5
seul_fem3059,9.3
seul_fem6074,26.5
seul_fem7584,45.4
seul_fem85,48.6
iranr_log,90.6
iranr_com,2.9
iranr_dep,3.2
iranr_fra,3
iranr_etr,0.3
mobresid,5.3
ilt_com,15.6
ilt_dep,32.9
ilt_fra,51.3
ilt_etr,0.2
mobtrav,77.9
modtrans_aucun,3.3
modtrans_pied,3.9
modtrans_velo,0.7
modtrans_moto,1.5
modtrans_voit,54.9
modtrans_commun,35.6
tx_pauvrete60_diff,10.6
nivvie_median_diff,25830
part_pauvres_diff,10.6
part_modestes_diff,18.4
part_medians_diff,22.7
part_plutot_aises_diff,32.1
part_aises_diff,16.2
D1_diff,12890
D9_diff,45280
rpt_D9_D1_diff,3.5
tx_pauvrete60_diff_trageRF1,16.3
tx_pauvrete60_diff_trageRF2,13.6
tx_pauvrete60_diff_trageRF3,11.4
tx_pauvrete60_diff_trageRF4,9.3
tx_pauvrete60_diff_trageRF5,8
tx_pauvrete60_diff_trageRF6,5.9
PACT,86.8
PPEN,22.8
PPAT,7.3
PPSOC,4.4
PIMPOT,-21.2
acc_ecole,100
acc_college,87.2
acc_lycee,49.4
acc_medecin,96.1
acc_dentiste,96.1
acc_pharmacie,96.1
part_eloig,0
