,64
id_circo,14005
Nom de la circonscription,Calvados  - 5e circonscription
Inscrit_22,92374
pop_légal_19,112916
pop_légal_13,112476
tvar_pop,0.1
pop_pole_aav,14.7
pop_cour_aav,77.6
pop_horsaav,7.7
pop_urb,44.2
pop_rur_periu,32.1
pop_rur_non_periu,23.7
age_moyen,44.1
dec90,75
dec75,64
dec50,46
dec25,22
dec10,9
actemp,40.2
actcho,4.7
inactret,28.5
inactetu,6.7
inactm14,15.8
inactaut,4.1
actemp_hom,42.2
actcho_hom,4.8
inactret_hom,26.4
inactetu_hom,7.0
inactm14_hom,16.8
inactaut_hom,2.8
actemp_fem,38.2
actcho_fem,4.7
inactret_fem,30.6
inactetu_fem,6.4
inactm14_fem,14.8
inactaut_fem,5.3
actdip_PEU,15.8
actdip_CAP,28.5
actdip_BAC,19.9
actdip_BAC2,14.1
actdip_BAC3,10.7
actdip_BAC5,10.9
actdip_BAC3P,21.6
act_agr,2.7
act_art,7.4
act_cad,14.2
act_int,25.2
act_emp,27.8
act_ouv,21.8
act_cho,0.9
log_res,73.7
log_sec,20.0
log_vac,6.3
proprio,69.6
locatai,29.0
gratuit,1.4
maison,82.4
ach90,68.9
mfuel,15.4
men_seul,31.8
men_coupae,27.3
men_coupse,32.6
men_monop,7.1
men_sfam,1.2
men_seul_com,31.8
men_coupse_com,32.4
men_coupae_com,27.2
men_monop_com,7.1
men_complexe_com,1.5
seul_hom1829,8.8
seul_hom3059,13.7
seul_hom6074,16.7
seul_hom7584,18.9
seul_hom85,22.3
seul_fem1829,9.4
seul_fem3059,9.9
seul_fem6074,27.1
seul_fem7584,45.3
seul_fem85,53.5
iranr_log,90.5
iranr_com,2
iranr_dep,5.4
iranr_fra,2
iranr_etr,0.1
mobresid,4.2
ilt_com,22.8
ilt_dep,69.1
ilt_fra,8
ilt_etr,0.1
mobtrav,50
modtrans_aucun,5.9
modtrans_pied,5.1
modtrans_velo,1.4
modtrans_moto,1.3
modtrans_voit,84
modtrans_commun,2.3
tx_pauvrete60_diff,9.1
nivvie_median_diff,22930
part_pauvres_diff,9.1
part_modestes_diff,25
part_medians_diff,30.8
part_plutot_aises_diff,25.8
part_aises_diff,9.4
D1_diff,13520
D9_diff,38710
rpt_D9_D1_diff,2.9
tx_pauvrete60_diff_trageRF1,15.2
tx_pauvrete60_diff_trageRF2,10.7
tx_pauvrete60_diff_trageRF3,10.4
tx_pauvrete60_diff_trageRF4,9.8
tx_pauvrete60_diff_trageRF5,5.9
tx_pauvrete60_diff_trageRF6,7.1
PACT,67.6
PPEN,34.4
PPAT,9.9
PPSOC,4.5
PIMPOT,-16.5
acc_ecole,76.4
acc_college,30.5
acc_lycee,19.2
acc_medecin,59.2
acc_dentiste,35.4
acc_pharmacie,56.3
part_eloig,19.3
