,435
id_circo,78011
Nom de la circonscription,Yvelines  - 11e circonscription
Inscrit_22,68878
pop_légal_19,120015
pop_légal_13,115035
tvar_pop,0.7
pop_pole_aav,100
pop_cour_aav,0
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,35.9
dec90,68
dec75,53
dec50,35
dec25,17
dec10,6
actemp,44.5
actcho,5.6
inactret,14.3
inactetu,8.3
inactm14,21.1
inactaut,6.3
actemp_hom,47.1
actcho_hom,5.4
inactret_hom,13.1
inactetu_hom,8.2
inactm14_hom,21.6
inactaut_hom,4.6
actemp_fem,42.0
actcho_fem,5.8
inactret_fem,15.4
inactetu_fem,8.3
inactm14_fem,20.6
inactaut_fem,7.9
actdip_PEU,16.9
actdip_CAP,17.8
actdip_BAC,19.5
actdip_BAC2,15.3
actdip_BAC3,12.5
actdip_BAC5,17.9
actdip_BAC3P,30.4
act_agr,0.0
act_art,3.6
act_cad,23.5
act_int,27.0
act_emp,28.5
act_ouv,16.0
act_cho,1.4
log_res,91.7
log_sec,1.8
log_vac,6.6
proprio,49.1
locatai,49.5
gratuit,1.4
maison,28.1
ach90,71.1
mfuel,1.8
men_seul,32.2
men_coupae,32.9
men_coupse,20.8
men_monop,12.3
men_sfam,1.8
men_seul_com,32.2
men_coupse_com,20.5
men_coupae_com,32.5
men_monop_com,12.1
men_complexe_com,2.7
seul_hom1829,15.5
seul_hom3059,16.9
seul_hom6074,16.7
seul_hom7584,14.4
seul_hom85,29.3
seul_fem1829,12.8
seul_fem3059,11.2
seul_fem6074,30.5
seul_fem7584,41.9
seul_fem85,53.7
iranr_log,88.6
iranr_com,4.3
iranr_dep,3.9
iranr_fra,2.7
iranr_etr,0.5
mobresid,6.1
ilt_com,17.4
ilt_dep,51.6
ilt_fra,30.8
ilt_etr,0.1
mobtrav,74
modtrans_aucun,2.2
modtrans_pied,4.5
modtrans_velo,1.2
modtrans_moto,1.6
modtrans_voit,60
modtrans_commun,30.4
tx_pauvrete60_diff,14.5
nivvie_median_diff,23150
part_pauvres_diff,14.5
part_modestes_diff,22.9
part_medians_diff,23.6
part_plutot_aises_diff,28.1
part_aises_diff,10.9
D1_diff,11750
D9_diff,40300
rpt_D9_D1_diff,3.4
tx_pauvrete60_diff_trageRF1,17.7
tx_pauvrete60_diff_trageRF2,14.4
tx_pauvrete60_diff_trageRF3,16.5
tx_pauvrete60_diff_trageRF4,15
tx_pauvrete60_diff_trageRF5,11.8
tx_pauvrete60_diff_trageRF6,8.7
PACT,86.3
PPEN,20.8
PPAT,5.6
PPSOC,5.9
PIMPOT,-18.6
acc_ecole,100
acc_college,94.5
acc_lycee,43
acc_medecin,100
acc_dentiste,94.5
acc_pharmacie,100
part_eloig,0
