,427
id_circo,78003
Nom de la circonscription,Yvelines  - 3e circonscription
Inscrit_22,83249
pop_légal_19,114806
pop_légal_13,115671
tvar_pop,-0.1
pop_pole_aav,77.9
pop_cour_aav,22.1
pop_horsaav,0
pop_urb,99.9
pop_rur_periu,0.1
pop_rur_non_periu,0
age_moyen,41.2
dec90,74
dec75,60
dec50,43
dec25,18
dec10,8
actemp,43.5
actcho,4.2
inactret,20.4
inactetu,9.4
inactm14,17.8
inactaut,4.7
actemp_hom,46.4
actcho_hom,4.4
inactret_hom,18.4
inactetu_hom,9.9
inactm14_hom,19.1
inactaut_hom,1.8
actemp_fem,40.8
actcho_fem,4.0
inactret_fem,22.3
inactetu_fem,9.0
inactm14_fem,16.6
inactaut_fem,7.4
actdip_PEU,10.1
actdip_CAP,12.4
actdip_BAC,15.2
actdip_BAC2,15.1
actdip_BAC3,16
actdip_BAC5,31.3
actdip_BAC3P,47.3
act_agr,0.1
act_art,5.7
act_cad,38.3
act_int,25.9
act_emp,21.3
act_ouv,7.9
act_cho,0.9
log_res,91.9
log_sec,2.0
log_vac,6.1
proprio,65.3
locatai,33.0
gratuit,1.7
maison,37
ach90,84
mfuel,2.6
men_seul,32.5
men_coupae,31.7
men_coupse,25.3
men_monop,9.4
men_sfam,1.1
men_seul_com,32.5
men_coupse_com,25.1
men_coupae_com,31.5
men_monop_com,9.3
men_complexe_com,1.6
seul_hom1829,10.0
seul_hom3059,14.5
seul_hom6074,14.3
seul_hom7584,17.4
seul_hom85,27.8
seul_fem1829,11.7
seul_fem3059,10.8
seul_fem6074,31.6
seul_fem7584,45.3
seul_fem85,60.3
iranr_log,90.2
iranr_com,2.6
iranr_dep,3.3
iranr_fra,3.1
iranr_etr,0.7
mobresid,6.3
ilt_com,17
ilt_dep,36.3
ilt_fra,46.2
ilt_etr,0.5
mobtrav,77.3
modtrans_aucun,3.2
modtrans_pied,5.5
modtrans_velo,1.5
modtrans_moto,4.1
modtrans_voit,60.3
modtrans_commun,25.3
tx_pauvrete60_diff,6.2
nivvie_median_diff,31120
part_pauvres_diff,6.2
part_modestes_diff,12.9
part_medians_diff,17.7
part_plutot_aises_diff,31.2
part_aises_diff,31.9
D1_diff,15520
D9_diff,62760
rpt_D9_D1_diff,4
tx_pauvrete60_diff_trageRF1,13.4
tx_pauvrete60_diff_trageRF2,8.9
tx_pauvrete60_diff_trageRF3,6.9
tx_pauvrete60_diff_trageRF4,6
tx_pauvrete60_diff_trageRF5,5
tx_pauvrete60_diff_trageRF6,5
PACT,84.5
PPEN,26.2
PPAT,14.1
PPSOC,2.2
PIMPOT,-27
acc_ecole,99.9
acc_college,90.2
acc_lycee,58.1
acc_medecin,98.3
acc_dentiste,98.3
acc_pharmacie,99.9
part_eloig,0
