,428
id_circo,78004
Nom de la circonscription,Yvelines  - 4e circonscription
Inscrit_22,79851
pop_légal_19,117265
pop_légal_13,117165
tvar_pop,0.0
pop_pole_aav,100
pop_cour_aav,0
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,39.6
dec90,72
dec75,57
dec50,40
dec25,19
dec10,7
actemp,46.3
actcho,4.4
inactret,17.8
inactetu,8.9
inactm14,18.4
inactaut,4.2
actemp_hom,48.5
actcho_hom,4.5
inactret_hom,15.7
inactetu_hom,9.3
inactm14_hom,19.9
inactaut_hom,2.1
actemp_fem,44.2
actcho_fem,4.3
inactret_fem,19.8
inactetu_fem,8.6
inactm14_fem,17.0
inactaut_fem,6.1
actdip_PEU,9.5
actdip_CAP,11.4
actdip_BAC,14.5
actdip_BAC2,14.3
actdip_BAC3,16
actdip_BAC5,34.2
actdip_BAC3P,50.2
act_agr,0.1
act_art,5.0
act_cad,40.7
act_int,25.4
act_emp,20.3
act_ouv,7.6
act_cho,0.9
log_res,90.5
log_sec,2.2
log_vac,7.3
proprio,63.7
locatai,34.0
gratuit,2.3
maison,35.6
ach90,78
mfuel,3.1
men_seul,33.1
men_coupae,32.3
men_coupse,23.8
men_monop,9.4
men_sfam,1.4
men_seul_com,33.1
men_coupse_com,23.5
men_coupae_com,32.1
men_monop_com,9.3
men_complexe_com,2.0
seul_hom1829,12.7
seul_hom3059,14.8
seul_hom6074,17.1
seul_hom7584,15.8
seul_hom85,27.4
seul_fem1829,12.7
seul_fem3059,12.4
seul_fem6074,31.6
seul_fem7584,45.1
seul_fem85,56.7
iranr_log,89.6
iranr_com,3.2
iranr_dep,2.3
iranr_fra,4.2
iranr_etr,0.8
mobresid,6.6
ilt_com,15.1
ilt_dep,20.6
ilt_fra,64
ilt_etr,0.3
mobtrav,81
modtrans_aucun,3.1
modtrans_pied,4.9
modtrans_velo,2.2
modtrans_moto,4
modtrans_voit,42.3
modtrans_commun,43.5
tx_pauvrete60_diff,7.1
nivvie_median_diff,31000
part_pauvres_diff,7.1
part_modestes_diff,12.8
part_medians_diff,17.5
part_plutot_aises_diff,31.5
part_aises_diff,31.1
D1_diff,15000
D9_diff,59460
rpt_D9_D1_diff,4
tx_pauvrete60_diff_trageRF1,12.1
tx_pauvrete60_diff_trageRF2,7.9
tx_pauvrete60_diff_trageRF3,7.2
tx_pauvrete60_diff_trageRF4,7.4
tx_pauvrete60_diff_trageRF5,5.9
tx_pauvrete60_diff_trageRF6,5
PACT,90.6
PPEN,21.6
PPAT,11.2
PPSOC,2.4
PIMPOT,-25.8
acc_ecole,100
acc_college,89.2
acc_lycee,61.3
acc_medecin,100
acc_dentiste,100
acc_pharmacie,100
part_eloig,0
