,429
id_circo,78005
Nom de la circonscription,Yvelines  - 5e circonscription
Inscrit_22,75287
pop_légal_19,113354
pop_légal_13,112188
tvar_pop,0.2
pop_pole_aav,100
pop_cour_aav,0
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,39.5
dec90,72
dec75,57
dec50,40
dec25,19
dec10,7
actemp,45.0
actcho,4.9
inactret,18.1
inactetu,8.8
inactm14,18.5
inactaut,4.7
actemp_hom,47.3
actcho_hom,5.0
inactret_hom,16.5
inactetu_hom,9.1
inactm14_hom,19.9
inactaut_hom,2.3
actemp_fem,42.9
actcho_fem,4.9
inactret_fem,19.5
inactetu_fem,8.5
inactm14_fem,17.3
inactaut_fem,6.9
actdip_PEU,12.5
actdip_CAP,13.8
actdip_BAC,14.4
actdip_BAC2,13.0
actdip_BAC3,14.4
actdip_BAC5,31.9
actdip_BAC3P,46.3
act_agr,0.0
act_art,5.6
act_cad,36.8
act_int,23.9
act_emp,22.1
act_ouv,10.5
act_cho,1.2
log_res,92.4
log_sec,1.8
log_vac,5.8
proprio,60.3
locatai,37.8
gratuit,2.0
maison,39.3
ach90,79.1
mfuel,3.7
men_seul,31.8
men_coupae,33
men_coupse,23.7
men_monop,10.2
men_sfam,1.4
men_seul_com,31.8
men_coupse_com,23.4
men_coupae_com,32.7
men_monop_com,10.0
men_complexe_com,2.0
seul_hom1829,11.9
seul_hom3059,13.7
seul_hom6074,15.5
seul_hom7584,18.6
seul_hom85,29.5
seul_fem1829,10.9
seul_fem3059,11.3
seul_fem6074,29.0
seul_fem7584,45.9
seul_fem85,55.0
iranr_log,91.1
iranr_com,3
iranr_dep,1.7
iranr_fra,3.4
iranr_etr,0.8
mobresid,5.4
ilt_com,16.7
ilt_dep,19.4
ilt_fra,63.5
ilt_etr,0.3
mobtrav,78
modtrans_aucun,2.9
modtrans_pied,4.4
modtrans_velo,1.6
modtrans_moto,2.9
modtrans_voit,39.4
modtrans_commun,48.7
tx_pauvrete60_diff,8.8
nivvie_median_diff,29390
part_pauvres_diff,8.8
part_modestes_diff,15.3
part_medians_diff,17.7
part_plutot_aises_diff,29.3
part_aises_diff,28.9
D1_diff,13740
D9_diff,60800
rpt_D9_D1_diff,4.4
tx_pauvrete60_diff_trageRF1,13.1
tx_pauvrete60_diff_trageRF2,9.7
tx_pauvrete60_diff_trageRF3,9.9
tx_pauvrete60_diff_trageRF4,8.6
tx_pauvrete60_diff_trageRF5,7.3
tx_pauvrete60_diff_trageRF6,5
PACT,90.1
PPEN,21.1
PPAT,12.9
PPSOC,2.8
PIMPOT,-26.9
acc_ecole,100
acc_college,94.4
acc_lycee,81.2
acc_medecin,100
acc_dentiste,100
acc_pharmacie,100
part_eloig,0
