,434
id_circo,78010
Nom de la circonscription,Yvelines  - 10e circonscription
Inscrit_22,91213
pop_légal_19,121912
pop_légal_13,120717
tvar_pop,0.2
pop_pole_aav,18.3
pop_cour_aav,81.7
pop_horsaav,0
pop_urb,64.4
pop_rur_periu,35.6
pop_rur_non_periu,0
age_moyen,41.4
dec90,73
dec75,60
dec50,43
dec25,20
dec10,8
actemp,44.9
actcho,4.0
inactret,22.0
inactetu,8.2
inactm14,16.8
inactaut,4.2
actemp_hom,47.6
actcho_hom,3.9
inactret_hom,20.2
inactetu_hom,8.3
inactm14_hom,17.6
inactaut_hom,2.4
actemp_fem,42.4
actcho_fem,4.0
inactret_fem,23.6
inactetu_fem,8.1
inactm14_fem,16.1
inactaut_fem,5.9
actdip_PEU,11.3
actdip_CAP,17.1
actdip_BAC,18.9
actdip_BAC2,17.5
actdip_BAC3,14.5
actdip_BAC5,20.7
actdip_BAC3P,35.2
act_agr,0.5
act_art,5.7
act_cad,30.2
act_int,28.7
act_emp,23.5
act_ouv,10.9
act_cho,0.7
log_res,89.6
log_sec,3.7
log_vac,6.7
proprio,69.9
locatai,27.3
gratuit,2.8
maison,65.1
ach90,73.8
mfuel,8.8
men_seul,30.9
men_coupae,31
men_coupse,28.4
men_monop,8.5
men_sfam,1.3
men_seul_com,30.9
men_coupse_com,28.1
men_coupae_com,30.8
men_monop_com,8.5
men_complexe_com,1.8
seul_hom1829,13.9
seul_hom3059,15.0
seul_hom6074,14.7
seul_hom7584,17.4
seul_hom85,27.6
seul_fem1829,11.7
seul_fem3059,10.0
seul_fem6074,25.9
seul_fem7584,39.6
seul_fem85,46.0
iranr_log,89.2
iranr_com,2.6
iranr_dep,4.3
iranr_fra,3.5
iranr_etr,0.4
mobresid,6.4
ilt_com,20
ilt_dep,46.6
ilt_fra,33.3
ilt_etr,0.2
mobtrav,65.5
modtrans_aucun,4.1
modtrans_pied,4.8
modtrans_velo,1
modtrans_moto,1.3
modtrans_voit,66.5
modtrans_commun,22.2
tx_pauvrete60_diff,5.6
nivvie_median_diff,28390
part_pauvres_diff,5.6
part_modestes_diff,14
part_medians_diff,22.8
part_plutot_aises_diff,37.3
part_aises_diff,20.3
D1_diff,15800
D9_diff,48680
rpt_D9_D1_diff,3.1
tx_pauvrete60_diff_trageRF1,12.2
tx_pauvrete60_diff_trageRF2,7.1
tx_pauvrete60_diff_trageRF3,6.5
tx_pauvrete60_diff_trageRF4,5
tx_pauvrete60_diff_trageRF5,5
tx_pauvrete60_diff_trageRF6,5
PACT,82.1
PPEN,27.1
PPAT,10.1
PPSOC,2.8
PIMPOT,-22.1
acc_ecole,99.2
acc_college,59.5
acc_lycee,40.7
acc_medecin,77.3
acc_dentiste,68.3
acc_pharmacie,74.3
part_eloig,3.7
