id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 1,EXG
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 1,9614
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 1,"0,87%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 1,"1,39%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 2,DVG
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 2,7054
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 2,"0,64%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 2,"1,02%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 3,UG
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 3,142004
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 3,"12,91%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 3,"20,47%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 4,ECO
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 4,946.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 4,"0,09%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 4,"0,14%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 5,DIV
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 5,1325.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 5,"0,12%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 5,"0,19%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 6,ENS
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 6,102898.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 6,"9,35%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 6,"14,84%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 7,DVC
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 7,19416.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 7,"1,76%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 7,"2,80%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 8,UDI
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 8,8571.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 8,"0,78%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 8,"1,24%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 9,LR
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 9,51145.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 9,"4,65%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 9,"7,37%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 10,DVD
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 10,0.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 10,"0,00%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 10,"0,00%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 11,RN
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 11,346995.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 11,"31,54%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 11,"50,03%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 12,REC
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 12,3610.0
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 12,"0,33%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 12,"0,52%"
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 13,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 13,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 13,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/exprimés 13,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Nuance candidat 14,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",Voix 14,
62,Pas-de-Calais,1100255,712879,"64,79%",387376,"35,21%",693578,"63,04%","97,29%",12780,"1,16%","1,79%",6521,"0,59%","0,91%",% Voix/inscrits 14,
