id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 9,"26,98%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 10,REC
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 10,370.0
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 10,"0,28%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 10,"0,45%"
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 11,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 11,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 11,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 11,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 12,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 12,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 12,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 12,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 13,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 13,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 13,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 13,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 14,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 14,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 14,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 14,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Nuance candidat 15,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",Voix 15,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/inscrits 15,
2B,Haute-Corse,130041,83735,"64,39%",46306,"35,61%",82038,"63,09%","97,97%",949,"0,73%","1,13%",748,"0,58%","0,89%",% Voix/exprimés 15,
