id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 1,EXG
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 1,2149
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 1,"0,66%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 1,"0,96%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 2,UG
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 2,58497
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 2,"18,06%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 2,"26,02%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 3,ECO
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 3,2292
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 3,"0,71%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 3,"1,02%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 4,REG
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 4,1244.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 4,"0,38%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 4,"0,55%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 5,DIV
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 5,1194.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 5,"0,37%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 5,"0,53%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 6,ENS
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 6,38738.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 6,"11,96%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 6,"17,23%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 7,UDI
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 7,2.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 7,"0,00%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 7,"0,00%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 8,LR
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 8,40198.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 8,"12,41%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 8,"17,88%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 9,DSV
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Voix 9,1716.0
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/inscrits 9,"0,53%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",% Voix/exprimés 9,"0,76%"
73,Savoie,323937,230378,"71,12%",93559,"28,88%",224776,"69,39%","97,57%",3854,"1,19%","1,67%",1748,"0,54%","0,76%",Nuance candidat 10,RN
