id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 1,EXG
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 1,6685
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 1,"0,46%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 1,"0,72%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 2,DVG
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 2,13778
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 2,"0,96%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 2,"1,47%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 3,UG
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 3,273957
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 3,"19,04%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 3,"29,31%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 4,ECO
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 4,10140.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 4,"0,70%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 4,"1,09%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 5,REG
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 5,2.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 5,"0,00%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 5,"0,00%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 6,DIV
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 6,946.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 6,"0,07%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 6,"0,10%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 7,ENS
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 7,183918.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 7,"12,78%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 7,"19,68%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 8,DVC
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 8,3.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 8,"0,00%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 8,"0,00%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 9,LR
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 9,45652.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 9,"3,17%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 9,"4,88%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 10,DVD
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 10,378.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 10,"0,03%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 10,"0,04%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 11,DSV
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 11,3248.0
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/inscrits 11,"0,23%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",% Voix/exprimés 11,"0,35%"
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Nuance candidat 12,RN
13,Bouches-du-Rhône,1438716,956705,"66,50%",482011,"33,50%",934551,"64,96%","97,68%",15383,"1,07%","1,61%",6771,"0,47%","0,71%",Voix 12,341630.0
