id_dep,libDepartement,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 1,EXG
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 1,4814
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 1,"0,78%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 1,"1,10%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 2,DVG
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 2,1898
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 2,"0,31%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 2,"0,43%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 3,UG
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 3,106270
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 3,"17,26%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 3,"24,29%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 4,ECO
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 4,1545.0
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 4,"0,25%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 4,"0,35%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 5,REG
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 5,32689.0
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 5,"5,31%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 5,"7,47%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 6,DIV
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 6,182.0
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 6,"0,03%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 6,"0,04%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 7,ENS
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 7,133759.0
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 7,"21,72%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 7,"30,58%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 8,DVD
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 8,19325.0
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/inscrits 8,"3,14%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",% Voix/exprimés 8,"4,42%"
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Nuance candidat 9,DSV
56,Morbihan,615731,447778,"72,72%",167953,"27,28%",437442,"71,04%","97,69%",7539,"1,22%","1,68%",2797,"0,45%","0,62%",Voix 9,2474.0
