id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
80001,Somme  - 1re circonscription,83939,118583,119237,-0.1,59.2,40.7,0.1,63.5,36.4,0.1,40.5,72,60,41,19,8,35.4,8.3,22.6,8.1,17.1,8.5,37.6,8.7,20.7,8.1,18.6,6.4,33.3,7.9,24.5,8.1,15.8,10.4,20.2,28.2,21.2,12.7,9.3,8.4,17.7,1.0,4.4,10.1,22.7,30.9,27.6,3.3,90.1,2.0,7.9,52.5,45.8,1.7,67.4,78.5,11,34.3,26.1,25.7,12,1.9,34.3,25.4,25.9,12.0,2.4,14.2,17.4,17.6,17.6,29.5,12.8,11.9,29.9,47.8,58.2,89.1,4.7,4.4,1.6,0.2,3.5,40.5,53.4,6,0.1,21.2,4.1,6.6,2.1,1.1,76.7,9.3,20.3,19440,20.3,31.1,26.1,17.8,4.7,10520,32570,3.1,34.4,27.1,23.5,19,12.9,9.5,66.5,30.9,7.2,9.7,-14.3,91.5,62.5,53.4,77.6,59.9,78.4,10.3,80
80002,Somme  - 2e circonscription,77398,129577,126211,0.4,77.9,22.1,0,88,12,0,38.0,71,56,34,20,9,38.5,7.1,18.8,14.7,14.8,6.2,40.8,7.8,16.5,14.4,16.0,4.5,36.4,6.5,20.9,14.9,13.6,7.7,13.3,17.2,19.7,14.4,16,19.4,35.4,0.4,4.2,21.4,27.7,27.6,16.2,2.6,88.9,2.3,8.8,40.7,57.2,2.2,46.1,70.6,4.6,45.9,19,21.4,10.1,3.6,45.9,21.3,18.9,10.0,3.9,33.4,23.0,20.2,18.0,30.4,34.5,17.5,36.1,47.2,49.3,84.6,7.4,3.6,4,0.4,6.5,57.5,33,9.5,0.1,20.3,2.9,11.8,4.4,1.2,66.1,13.5,17.4,21470,17.4,25.5,24.2,22.4,10.5,10790,40060,3.7,35.3,21.2,18.9,15.4,9.2,7.1,74.7,27.5,9.3,7.4,-18.9,98.9,77.9,75.6,92.6,86.1,89.8,1.4,80
80003,Somme  - 3e circonscription,82602,103371,106012,-0.4,16.8,54.2,29,16.8,35.7,47.5,44.2,76,64,46,23,9,38.0,6.1,28.7,5.7,15.4,6.1,41.3,6.1,27.0,5.6,16.2,3.7,34.9,6.0,30.3,5.8,14.6,8.3,21.5,33.6,20.9,12.5,7.1,4.5,11.6,3.4,6.0,7.0,18.8,28.7,34.7,1.5,66.0,26.9,7.2,73.9,24.0,2.1,92.2,75.9,21.2,30.1,27.7,32.7,8,1.5,30.1,32.5,27.6,7.9,1.9,7.3,12.6,16.6,17.9,26.1,6.3,8.3,25.0,43.6,56.2,91.7,1.8,4.7,1.7,0.1,3.5,23.5,61.2,15.2,0.1,42.6,6.1,4.9,1.5,1.4,84,2.1,14.2,20270,14.2,32.8,30.3,17.8,5,11930,32940,2.8,22.8,18.3,16.1,14,9.8,10.1,64,35,9.3,6,-14.3,80.5,24.7,8.9,39,26.1,46.7,24.7,80
80004,Somme  - 4e circonscription,84900,111438,110834,0.1,5.5,88,6.4,19.9,70.2,9.9,41.1,73,60,42,19,8,41.3,5.7,23.3,6.8,17.6,5.3,44.1,5.8,21.8,6.7,18.2,3.4,38.5,5.6,24.8,6.9,17.1,7.1,17.7,29.0,21.4,15.0,10,7,17.0,2.8,4.9,9.7,24.9,28.9,27.5,1.4,89.0,3.0,8.0,73.5,24.9,1.7,91.8,74.1,25.2,27.3,31.9,30.3,9.2,1.2,27.3,30.1,31.8,9.2,1.7,5.6,11.8,16.8,21.1,30.3,5.9,7.8,23.1,42.8,48.8,91.3,2.1,5.2,1.4,0.1,4.2,20.7,66.4,12.8,0.1,60.4,5.4,4.6,1,0.8,85,3.2,11.5,21670,11.5,28.2,31.4,22.7,6.2,12670,34910,2.8,19.5,13,12.4,11.1,8.4,9,72.5,28.3,8.7,5.6,-15.2,80.3,34.2,21.2,50.6,27.2,50.1,36.7,80
80005,Somme  - 5e circonscription,81217,107590,109381,-0.3,22.6,53.3,24.1,30.3,17.1,52.6,41.6,74,61,42,20,8,37.8,7.4,24.2,6.2,17.3,7.2,42.3,7.3,22.3,6.1,17.9,4.1,33.4,7.5,26.0,6.2,16.7,10.1,22.1,32.7,20.9,12.7,6.8,4.8,11.6,3.1,5.0,6.4,19.9,27.7,36.1,1.8,85.7,3.9,10.4,69.1,29.1,1.8,88.7,81.5,28.8,30.3,29.1,29.3,9.7,1.5,30.3,29.0,29.0,9.6,2.1,8.7,14.4,17.2,20.4,33.0,6.3,8.5,26.4,43.2,52.6,90.5,2.7,5,1.7,0.1,3.1,25.8,58.5,15.6,0.1,33.2,5.7,5.9,1.3,1.1,83.5,2.5,16,19980,16,32.7,28.7,17.7,5,11480,32720,2.9,22.7,19.7,19.2,15.7,10.6,9,68.4,30.4,8.3,7.2,-14.4,72.5,35.7,21.6,43,34.3,44.1,39.1,80
