id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
86001,Vienne  - 1re circonscription,80217,120455,116143,0.6,41.3,56.5,2.2,55.1,42.8,2.2,39.1,72,58,38,19,8,40.9,6.0,20.7,10.8,17.1,4.4,42.0,6.3,19.4,11.0,18.2,3.1,39.9,5.8,21.9,10.6,16.1,5.6,11.3,24.1,22.5,16.1,13.4,12.5,25.9,0.9,4.9,14.6,26.6,32.3,19.0,1.7,90.5,2.7,6.9,55.2,43.7,1.2,66,61.3,12.2,40,22.9,26,9,2.1,40.0,25.9,22.8,8.9,2.4,29.3,20.4,17.6,17.7,29.5,28.9,15.3,30.6,41.9,57.2,86.7,4.6,4.9,3.4,0.4,5.5,31,64,5,0.1,21,3.2,4.1,1.6,1.4,83.2,6.5,14.6,21600,14.6,26.3,30.1,22.5,6.5,11580,35330,3.1,28.9,17.8,15.4,13.3,8,8.3,71.9,28.9,7.9,6.9,-15.6,98.5,53.9,39.3,89.4,80.9,84.7,4.9,86
86002,Vienne  - 2e circonscription,79056,121641,117190,0.6,40.8,59.2,0,53.2,46.8,0,39.9,73,59,38,20,9,40.8,5.2,21.5,13.5,14.5,4.5,42.7,5.7,19.8,12.4,15.4,4.0,39.1,4.8,23.0,14.5,13.6,5.0,9.4,20.9,21.5,15.3,15.2,17.6,32.8,0.8,5.0,19.9,28.6,29.0,15.3,1.4,89.8,2.7,7.5,52.9,45.3,1.8,60.8,65.5,11.5,44.8,20.4,25.2,6.9,2.8,44.8,25.1,20.4,6.9,2.9,36.5,18.9,17.5,18.3,28.0,45.5,15.0,30.4,42.9,46.8,84.2,5.7,4.8,4.7,0.6,7.2,37.2,56.9,5.8,0.1,22.9,3.8,6.7,2.6,1.4,78.5,7,12.3,22480,12.3,24.2,29.5,25,9,12200,38210,3.1,31.3,13.9,12.2,10.3,6.6,7,73.2,29.5,9.2,5.5,-17.3,98.3,54.7,40.8,90.7,79.2,86.1,10.3,86
86003,Vienne  - 3e circonscription,72854,97448,98394,-0.2,6.1,57.6,36.4,6.1,47.7,46.2,46.5,80,67,49,25,10,38.4,4.6,32.5,5.3,14.5,4.7,40.6,4.7,31.0,5.2,15.3,3.2,36.2,4.5,33.9,5.5,13.8,6.1,14.5,34.7,23.3,13.2,8.3,6.1,14.4,4.9,7.6,8.5,21.0,30.9,26.6,0.7,75.8,11.3,12.9,74.7,23.6,1.7,93.2,76.6,26.3,34.5,22.8,33.8,7.7,1.2,34.5,33.7,22.7,7.6,1.5,12.5,16.4,19.6,18.5,26.9,10.7,11.2,24.4,41.9,48.3,91,2.1,4.4,2.2,0.3,4.3,29.8,61.3,8.6,0.2,40.8,7,4.3,0.9,1.2,85.1,1.5,14.4,20270,14.4,32.6,30.2,18.2,4.7,11800,32710,2.8,19.5,15.4,15,15.4,10.9,14.8,61.8,37.1,9.3,5.4,-13.6,92.3,34.3,23.8,61.1,43,60,47.9,86
86004,Vienne  - 4e circonscription,73884,98891,99521,-0.1,38.7,52.7,8.6,38.7,41.8,19.5,44.5,78,64,47,23,9,37.4,6.1,29.0,5.8,15.7,5.9,40.0,6.3,27.1,6.0,16.6,4.1,35.0,5.9,30.9,5.7,14.9,7.6,17.4,35.8,21.1,12.8,7.3,5.7,13.0,2.9,5.8,8.0,20.9,28.8,32.2,1.4,81.0,7.3,11.6,68.3,30.0,1.7,83.3,78.2,16.9,36.2,22.6,30.9,8.8,1.4,36.2,30.7,22.5,8.8,1.8,15.7,19.3,18.6,21.7,27.9,12.5,12.1,26.4,45.8,57.4,90.1,3.7,3.7,2.3,0.3,3.7,36.6,50.2,13.1,0.1,28.5,4.9,4.1,1.9,1.4,85.1,2.5,15.4,20250,15.4,31.7,30.1,18.3,4.5,11610,32660,2.8,25.8,19.7,17.9,15.3,9.8,10.8,63.1,35.6,8.8,6.7,-14.2,92.4,48.5,43.9,67.2,55.7,65.6,29.6,86
