id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
08001,Ardennes - 1re circonscription,70586,102761,104505,-0.3,27.1,59.9,13,45.9,41.1,13,41.6,73,61,43,20,8,38.7,6.5,23.6,6.5,17.3,7.3,42.2,6.8,22.4,6.5,18.1,3.9,35.4,6.3,24.8,6.4,16.6,10.6,17.3,31.2,21.0,14.2,9.9,6.3,16.2,2.9,5.6,9.0,23.8,29.4,27.4,1.9,86.7,3.3,10.0,62.1,36.1,1.8,73.3,79.7,16.2,33.6,27.5,28.8,9.1,1,33.6,28.7,27.4,9.0,1.3,12.3,16.8,19.6,23.0,31.7,10.6,10.5,29.7,44.9,57.8,90.6,3.2,4.2,1.9,0.2,3.2,30.5,50.7,18.1,0.8,32.8,5.6,6.4,0.9,0.9,82.7,3.5,17.3,20420,17.3,29.4,28.2,19.5,5.6,11030,33840,3.1,27,20.8,20.2,16,12.1,11.6,68.2,30.2,8.5,7.8,-14.6,74.8,43.2,32.5,62.8,51.4,58.6,35,08
08002,Ardennes - 2e circonscription,60537,89775,94241,-0.8,46.1,45.6,8.3,55.6,25.5,18.9,42.7,74,62,44,22,9,36.3,8.3,25.1,6.2,15.6,8.5,40.2,8.6,23.7,6.4,16.3,4.8,32.5,8.0,26.4,6.1,14.9,12.1,20.4,32.0,20.4,12.9,8.3,6,14.3,0.6,5.5,8.1,23.0,30.2,29.9,2.7,84.5,3.2,12.4,57.2,41.3,1.6,69.7,83,10,36.7,24.4,27.5,10,1.5,36.7,27.3,24.3,9.9,1.8,13.2,19.6,21.1,22.8,38.2,11.0,12.2,29.0,49.8,56.1,90.2,4.3,3.7,1.4,0.4,2.9,37.6,54.8,3.2,4.3,17,4.3,8.7,1.2,0.9,81.5,3.3,19.8,19430,19.8,31.8,26.2,17.5,4.7,10520,32520,3.1,35.2,24.9,22.8,18.7,13.4,12,64.1,32.8,8.1,8.7,-13.7,89.4,62.7,39.5,77.4,66.8,77.4,23.6,08
08003,Ardennes - 3e circonscription,55071,78046,82161,-0.9,31.3,47.5,21.2,34.6,6.7,58.8,43.2,75,63,45,22,9,36.6,7.4,26.1,6.3,15.9,7.7,40.9,7.6,24.5,6.5,16.6,4.0,32.6,7.2,27.7,6.1,15.2,11.1,20.1,33.6,21.6,12.4,7.7,4.6,12.3,3.3,5.5,6.4,19.9,29.4,33.3,2.1,83.8,4.1,12.1,62.3,35.9,1.9,74.5,83.3,18.9,35.3,24.7,29.1,9.4,1.4,35.3,29.0,24.6,9.4,1.7,13.8,18.4,19.5,21.8,32.1,10.9,10.8,28.6,52.5,55.7,90.3,3.3,4.8,1.4,0.2,2.8,28.7,57.3,7.5,6.5,33.6,5.8,7.4,1.2,0.8,83.1,1.8,18.7,19640,18.7,31.8,27.6,17.4,4.4,10750,32330,3,30.5,23.3,20.7,18.2,13.6,12.1,62.6,32.1,10.3,8.2,-13.3,73.9,40.4,29.2,61.8,46.2,61.5,37.6,08
