id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Sexe candidat 3,MASCULIN
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Voix 3,3125
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Voix 3,1055
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/inscrits 3,"5,95%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/inscrits 3,"1,69%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/exprimés 3,"9,40%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/exprimés 3,"2,72%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Elu 3,
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Elu 3,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Numéro de panneau 4,4
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Numéro de panneau 4,4
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nuance candidat 4,REG
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nuance candidat 4,REG
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nom candidat 4,LUCIANI
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nom candidat 4,CUCCHI
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Prénom candidat 4,Jean-François
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Prénom candidat 4,Jean-Baptiste
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Sexe candidat 4,MASCULIN
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Sexe candidat 4,MASCULIN
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Voix 4,1078
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Voix 4,2548
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/inscrits 4,"2,05%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/inscrits 4,"4,08%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/exprimés 4,"3,24%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/exprimés 4,"6,57%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Elu 4,
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Elu 4,
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Numéro de panneau 5,5.0
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Numéro de panneau 5,5.0
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nuance candidat 5,REG
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nuance candidat 5,RN
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Nom candidat 5,COLONNA
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Nom candidat 5,FILONI
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Prénom candidat 5,Romain
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Prénom candidat 5,François
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Sexe candidat 5,MASCULIN
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Sexe candidat 5,MASCULIN
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",Voix 5,5601.0
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",Voix 5,13620.0
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/inscrits 5,"10,67%"
2A,Corse-du-Sud,2A002,2ème circonscription,62495,39621,"63,40%",22874,"36,60%",38807,"62,10%","97,95%",470,"0,75%","1,19%",344,"0,55%","0,87%",% Voix/inscrits 5,"21,79%"
2A,Corse-du-Sud,2A001,1ère circonscription,52490,33839,"64,47%",18651,"35,53%",33259,"63,36%","98,29%",370,"0,70%","1,09%",210,"0,40%","0,62%",% Voix/exprimés 5,"16,84%"
