id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
26001,Drôme  - 1re circonscription,77421,115042,109972,0.8,73.5,25.8,0.6,90.3,9.1,0.6,40.7,75,60,40,20,8,38.7,6.7,22.6,8.1,17.0,6.9,42.0,6.5,20.1,8.3,18.2,4.9,35.6,6.9,25.0,7.8,16.0,8.7,15.1,23.4,21.0,15.3,12.6,12.5,25.1,0.7,5.8,14.6,25.7,28.9,22.8,1.4,87.1,2.7,10.2,52.7,45.3,2.0,41.8,72.2,5.4,41.9,22.7,24,9.6,1.8,41.9,23.8,22.6,9.6,2.1,27.9,20.4,21.1,20.2,24.9,24.1,15.6,36.1,52.5,56.9,87.5,4.9,3.7,3.6,0.4,5.8,45.2,41.1,13.5,0.2,32.4,3.4,7.8,4.2,1.2,74.7,8.6,16.7,20870,16.7,28.2,26.3,21.3,7.5,11220,36380,3.2,23.8,19.2,21,15.8,11.4,9.2,68.8,29.2,10.5,7.4,-15.9,100,73.5,78.9,91.5,93.8,92.7,1.1,26
26002,Drôme  - 2e circonscription,95581,130625,122082,1.1,40.8,56.8,2.4,68,28.3,3.7,41.3,74,61,42,19,8,39.7,6.4,23.2,6.4,18.0,6.4,43.0,5.9,22.1,6.5,19.0,3.5,36.5,6.9,24.2,6.3,17.1,9.0,16.1,27.6,21.4,16.0,10.1,8.7,18.8,1.0,6.9,11.7,26.5,27.9,24.9,1.1,89.1,2.9,8.0,61.2,36.9,2.0,66,63.9,10.4,33.6,27.3,28.3,9.2,1.6,33.6,28.1,27.1,9.1,2.0,15.4,16.8,17.1,19.6,28.2,12.5,11.7,30.4,42.9,53.6,88.1,4.3,4,3.3,0.3,5.2,37.3,47.5,15.1,0.1,35.4,3.9,3.9,1.6,1.2,86.3,3.1,14.2,21260,14.2,28.5,28,21.9,7.4,11850,36290,3.1,18.7,16.4,17.4,13.5,10.5,9.5,69.3,30.1,10.3,6.2,-15.9,99.3,66.7,42.2,90.9,82.1,81.6,3.1,26
26003,Drôme  - 3e circonscription,110419,134840,130611,0.5,16.8,54.3,28.9,21,27.4,51.6,44.7,76,64,47,24,9,39.5,5.8,28.2,5.6,15.5,5.4,41.7,5.6,27.2,5.6,16.3,3.6,37.5,6.0,29.2,5.6,14.8,7.0,14.1,25.6,21.7,15.7,12.1,10.7,22.8,5.0,10.6,13.1,24.5,25.6,20.6,0.7,72.6,19.7,7.6,67.8,29.0,3.2,78.1,65.3,17.1,34.4,24.1,31.4,8.4,1.7,34.4,31.1,24.0,8.4,2.1,12.6,16.1,18.8,21.1,28.7,11.2,11.8,28.6,44.2,52.4,88.9,3,4.2,3.6,0.3,5.2,35,49.6,15.2,0.2,40.7,7.6,6.7,2,1,80.4,2.2,14.2,21650,14.2,27,27.4,23.1,8.2,11760,37430,3.2,21.8,17.6,17.2,14.5,10.4,9.5,63.2,34.8,12.5,5.3,-15.8,90.1,36.8,22,70.6,56.9,61.9,25.9,26
26004,Drôme  - 4e circonscription,98767,136255,132047,0.5,33.1,56.2,10.7,44.8,39.4,15.7,41.4,74,61,42,19,8,40.2,6.1,23.9,6.4,18.1,5.4,43.0,6.0,22.3,6.4,19.2,3.1,37.5,6.2,25.4,6.3,17.1,7.5,18.1,28.3,20.9,15.3,9.8,7.8,17.6,1.9,7.2,11.5,24.3,26.3,27.7,1.2,87.9,3.1,9.0,64.7,33.6,1.7,69.1,64.8,12.7,33.3,28.1,28,9.4,1.3,33.3,27.8,27.9,9.3,1.7,12.7,15.5,19.0,21.6,28.9,10.7,10.7,29.9,45.0,50.9,89.5,3.2,4.4,2.7,0.2,4,28.2,55.6,16.1,0.1,36.1,4.4,4.2,1.4,1.1,85.4,3.5,13.7,21220,13.7,28.8,29.5,21.6,6.3,12000,35010,2.9,19.2,16.2,15.4,13.6,10,9.7,70.1,29,9.9,6.3,-15.3,98.7,46.9,42.4,75.4,63.7,71.7,11.4,26
