id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
45,Loiret,45001,1ère circonscription,78309,54164,"69,17%",24145,"30,83%",53079,"67,78%","98,00%",803,"1,03%","1,48%",282,"0,36%","0,52%",Numéro de panneau 1,1
45,Loiret,45002,2ème circonscription,88601,58836,"66,41%",29765,"33,59%",57602,"65,01%","97,90%",836,"0,94%","1,42%",398,"0,45%","0,68%",Numéro de panneau 1,1
45,Loiret,45003,3ème circonscription,70445,48330,"68,61%",22115,"31,39%",46943,"66,64%","97,13%",1005,"1,43%","2,08%",382,"0,54%","0,79%",Numéro de panneau 1,1
45,Loiret,45004,4ème circonscription,74099,48045,"64,84%",26054,"35,16%",46785,"63,14%","97,38%",955,"1,29%","1,99%",305,"0,41%","0,63%",Numéro de panneau 1,1
45,Loiret,45005,5ème circonscription,73581,49335,"67,05%",24246,"32,95%",48177,"65,47%","97,65%",793,"1,08%","1,61%",365,"0,50%","0,74%",Numéro de panneau 1,1
45,Loiret,45006,6ème circonscription,76084,52297,"68,74%",23787,"31,26%",51090,"67,15%","97,69%",867,"1,14%","1,66%",340,"0,45%","0,65%",Numéro de panneau 1,1
45,Loiret,45001,1ère circonscription,78309,54164,"69,17%",24145,"30,83%",53079,"67,78%","98,00%",803,"1,03%","1,48%",282,"0,36%","0,52%",Nuance candidat 1,RN
45,Loiret,45002,2ème circonscription,88601,58836,"66,41%",29765,"33,59%",57602,"65,01%","97,90%",836,"0,94%","1,42%",398,"0,45%","0,68%",Nuance candidat 1,LR
45,Loiret,45003,3ème circonscription,70445,48330,"68,61%",22115,"31,39%",46943,"66,64%","97,13%",1005,"1,43%","2,08%",382,"0,54%","0,79%",Nuance candidat 1,DVD
45,Loiret,45004,4ème circonscription,74099,48045,"64,84%",26054,"35,16%",46785,"63,14%","97,38%",955,"1,29%","1,99%",305,"0,41%","0,63%",Nuance candidat 1,ENS
45,Loiret,45005,5ème circonscription,73581,49335,"67,05%",24246,"32,95%",48177,"65,47%","97,65%",793,"1,08%","1,61%",365,"0,50%","0,74%",Nuance candidat 1,RN
45,Loiret,45006,6ème circonscription,76084,52297,"68,74%",23787,"31,26%",51090,"67,15%","97,69%",867,"1,14%","1,66%",340,"0,45%","0,65%",Nuance candidat 1,ENS
45,Loiret,45001,1ère circonscription,78309,54164,"69,17%",24145,"30,83%",53079,"67,78%","98,00%",803,"1,03%","1,48%",282,"0,36%","0,52%",Nom candidat 1,RABAULT
45,Loiret,45002,2ème circonscription,88601,58836,"66,41%",29765,"33,59%",57602,"65,01%","97,90%",836,"0,94%","1,42%",398,"0,45%","0,68%",Nom candidat 1,COLAS
45,Loiret,45003,3ème circonscription,70445,48330,"68,61%",22115,"31,39%",46943,"66,64%","97,13%",1005,"1,43%","2,08%",382,"0,54%","0,79%",Nom candidat 1,DE PÉLICHY
45,Loiret,45004,4ème circonscription,74099,48045,"64,84%",26054,"35,16%",46785,"63,14%","97,38%",955,"1,29%","1,99%",305,"0,41%","0,63%",Nom candidat 1,HARLÉ
45,Loiret,45005,5ème circonscription,73581,49335,"67,05%",24246,"32,95%",48177,"65,47%","97,65%",793,"1,08%","1,61%",365,"0,50%","0,74%",Nom candidat 1,LACAPELLE
