id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
2A001,Corse-du-Sud  - 1re circonscription,52151,79077,74186,1.1,60.9,35.5,3.6,60.9,35.5,3.6,44.2,76,64,45,25,9,42.2,4.2,24.2,5.5,14.8,9.1,45.6,3.9,24.4,5.6,15.9,4.5,39.0,4.5,24.0,5.5,13.9,13.3,16.0,23.6,25.4,13.2,11.8,10.1,21.9,1.0,9.1,11.4,24.9,34.6,17.9,0.9,70.0,27.2,2.9,57.5,37.5,5.0,38.5,74.9,1.1,28.6,28.6,28.3,11.3,3.2,28.6,27.6,28.1,11.2,4.5,8.0,13.2,17.2,14.6,20.8,9.7,9.6,21.6,32.0,41.0,91.3,4,2.2,2.3,0.2,2.9,64.3,34,1.7,0.1,4.4,2.4,8.3,0.5,7.2,78.6,3.1,12.9,23370,12.9,22.9,25,27.4,11.8,12120,41620,3.4,16.7,12.3,12.8,11.4,12.2,15.8,72.7,30.8,11.4,4.5,-19.3,94.7,66.2,60.9,81.8,80.4,85.2,34,2A
2A002,Corse-du-Sud  - 2e circonscription,61772,79430,75048,1.0,49.4,37.6,12.9,43.7,19.8,36.5,44.2,76,63,46,25,9,40.1,6.0,23.8,5.1,14.4,10.5,44.5,5.3,23.7,5.4,15.3,5.8,35.9,6.7,24.0,4.9,13.6,15.0,20.5,24.4,25.0,11.6,10.4,8.1,18.5,1.6,12.2,8.6,21.1,34.9,20.3,1.2,49.1,48.3,2.7,54.6,39.3,6.1,51.1,64.5,1.1,33.6,26,25.6,11.9,2.9,33.6,25.0,25.7,11.8,4.0,10.8,16.8,19.8,20.2,28.2,9.5,11.8,27.0,39.2,42.2,90.2,4.4,2.9,2.3,0.2,3.2,64,33.3,2.5,0.1,7.6,3.9,6.1,0.3,3.6,83.9,2.2,18.9,20560,18.9,27.4,24.5,20.9,8.3,10630,37190,3.5,21.3,20.6,21.1,19.5,16.4,17.3,66.3,32,13.2,6.1,-17.6,92.2,62.1,47.8,82.5,69.5,77.6,40.6,2A
