id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
21001,Côte-d’Or - 1re circonscription,69988,110411,109964,0.1,83.4,16.6,0,87.1,12.9,0,41.6,75,61,40,21,10,41.7,5.8,23.8,10.3,13.9,4.4,44.3,6.0,21.2,10.6,15.0,3.0,39.3,5.7,26.2,10.1,13.0,5.7,10.8,17.3,19.1,15.7,15.5,21.6,37.1,0.2,5.3,23.6,28.2,25.8,15.5,1.5,89.5,3.2,7.3,51.1,47.1,1.8,28.1,75.8,4,47.8,17.5,24.2,8.2,2.3,47.8,24.1,17.4,8.2,2.5,34.4,26.5,22.0,20.7,28.9,36.3,20.6,37.7,47.2,55.9,84.9,6.5,4.2,3.8,0.7,6.5,51.1,43.3,5.5,0.2,26.4,2.9,10,4.5,1.1,61.5,20,11.9,24060,11.9,21.1,25.1,27.9,14,12360,44250,3.6,24,15.3,14.1,11.4,6.2,5,71.8,32,11.4,4.9,-20.1,98.6,75.4,75.2,96.5,89.7,88.5,4.6,21
21002,Côte-d’Or - 2e circonscription,70982,116874,109806,1.0,62.6,37.3,0.2,69.2,30.7,0.2,39.4,73,58,37,20,9,41.3,5.9,20.7,12.3,14.8,5.0,43.6,6.0,19.1,11.6,15.6,4.0,39.2,5.7,22.2,12.9,14.0,6.0,13.5,22.5,21.5,15.2,12.7,14.8,27.5,0.8,5.1,16.5,26.5,29.3,20.1,1.6,89.3,3.3,7.4,50.1,47.3,2.6,38.8,68,6.6,46.6,20.3,23.3,7.4,2.5,46.6,23.3,20.2,7.3,2.6,36.2,23.3,19.7,21.2,26.4,39.2,17.2,33.1,45.3,48.0,84.1,6.8,4.1,4.4,0.6,7.3,46.3,47,6.6,0.1,30.4,4.1,8.9,4.3,0.9,68.1,13.7,12.4,22220,12.4,25.6,29.3,24.6,8.1,12310,37340,3,22.3,13.8,13.7,10.6,8.4,8.2,74.4,28.2,8.4,5.9,-16.9,93.2,66.3,62.6,81.1,71.6,78.3,13.5,21
21003,Côte-d’Or - 3e circonscription,72033,107923,106805,0.2,32.4,67.6,0,76,24,0,40.3,72,59,40,20,8,41.7,5.4,22.5,9.7,16.3,4.4,44.0,5.5,21.1,9.6,17.3,2.6,39.5,5.3,23.7,9.8,15.5,6.0,14.6,25.5,22.6,16.1,11.4,9.8,21.2,0.4,4.7,12.8,27.0,30.8,22.8,1.5,93.7,1.3,5.0,60.9,37.8,1.4,52.8,68.9,5.5,35.5,26.4,26.9,9.4,1.7,35.5,26.8,26.2,9.3,2.1,20.1,16.7,15.4,19.3,23.6,18.9,12.8,29.0,44.1,54.0,87.9,3.9,5,2.9,0.3,4.7,26.4,69.3,4.2,0.1,17.2,3.4,4,2.5,1,76.9,12.2,11.5,22320,11.5,25.8,31.2,25.3,6.3,12640,35550,2.8,21.1,13.5,13.9,11.2,6.8,6.4,72.3,30.6,6.9,6,-15.8,99.2,68.9,52.4,84.5,74.5,79.1,4,21
21004,Côte-d’Or - 4e circonscription,68376,87522,89774,-0.4,20.4,65.7,13.9,6.9,27.6,65.4,44.6,77,64,47,24,9,40.9,4.9,28.6,5.7,15.3,4.7,43.4,5.0,27.3,5.5,16.0,2.8,38.5,4.8,29.8,5.8,14.7,6.4,15.9,33.7,21.5,13.3,8.3,7.3,15.6,4.6,7.2,9.9,22.4,27.0,28.1,0.9,75.3,12.1,12.6,71.6,25.7,2.6,82.1,82.1,23.8,35.9,24.2,30.8,7.5,1.6,35.9,30.6,24.0,7.5,1.9,17.5,17.3,21.0,25.1,27.0,11.8,11.4,28.5,45.4,46.5,90.6,2.4,5,1.8,0.2,3.7,31.6,60.9,7.4,0.1,31.9,6.9,7.8,1,0.9,79,4.5,11.5,21570,11.5,28.5,31.6,22.4,6,12600,34650,2.8,17.2,12.9,13,12.6,8.3,9.3,66.1,34.2,9.3,5.2,-14.8,61.9,33.6,19.5,44.6,32.5,40.5,58,21
21005,Côte-d’Or - 5e circonscription,85482,111394,113412,-0.3,18.5,64.7,16.8,24.4,58.5,17.1,43.5,75,63,45,22,9,43.7,4.3,26.0,6.1,15.6,4.1,46.7,4.2,24.3,6.0,16.4,2.4,40.9,4.5,27.7,6.3,14.9,5.7,15.0,30.8,21.0,15.0,9.8,8.5,18.3,3.9,7.9,11.5,22.8,26.9,26.5,0.5,81.8,8.3,9.9,70.4,27.1,2.5,77.1,73.7,15.2,33.5,26.5,31.2,7.7,1.2,33.5,31.0,26.3,7.7,1.6,15.7,17.2,18.5,20.0,24.4,11.3,10.6,25.4,42.4,51.8,90.4,2.6,4.7,2.1,0.2,4,29.8,61.3,8.7,0.2,34.4,5.7,6.1,2.1,1,81.8,3.3,9,22910,9,25.3,30.7,24.8,10.2,13520,39710,2.9,13.7,9.7,10,9,7,7.7,71.7,29.3,13,4.1,-18,78.1,34,22.4,49.9,40.1,43.1,28.2,21
