id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
94001,Val-de-Marne  - 1re circonscription,84314,135193,131540,0.5,100,0,0,100,0,0,40.4,73,58,40,20,8,44.9,5.3,19.1,9.2,16.9,4.6,47.0,5.6,16.5,9.8,18.1,3.1,43.1,4.9,21.5,8.7,15.8,5.9,13.3,13.8,17.2,14.4,15.8,25.5,41.3,0.0,5.8,30.6,26.5,25.3,10.4,1.3,92.5,1.3,6.2,56.0,41.6,2.4,30,83.7,3.8,36.9,28.2,21,11.5,2.4,36.9,20.7,27.9,11.4,3.0,13.0,18.7,17.8,19.4,29.8,14.0,14.4,33.3,46.8,61.6,90.5,3.5,2.5,3.1,0.4,5.4,22.5,26.7,50.6,0.2,68.4,2.9,5.7,2.5,3.8,41.5,43.6,11.5,26690,11.5,17.4,20.1,28.3,22.7,12510,53530,4.3,18.6,13.7,13.2,11.1,8.6,5.5,84.5,24.3,11.9,3.6,-24.4,100,100,86.8,100,100,100,0,94
94002,Val-de-Marne  - 2e circonscription,65115,139880,133207,0.8,100,0,0,100,0,0,35.4,67,52,34,17,6,42.3,7.7,12.8,9.1,21.0,7.1,44.9,7.8,11.4,9.0,22.1,4.7,40.0,7.7,14.0,9.2,19.9,9.3,20.5,17.9,21.5,12.5,12.3,15.3,27.6,0.0,4.6,15.8,25.4,34.4,17.3,2.5,94.5,1.0,4.5,32.2,66.1,1.7,9.9,69.6,1,35.1,29.9,16.1,15.7,3.3,35.1,15.6,29.5,15.4,4.5,13.9,19.8,19.9,17.8,26.1,13.2,13.0,34.6,48.2,59.2,90.6,3.2,2.4,3.2,0.6,5.9,24.3,26.5,49.1,0.2,71.2,2.2,6.9,1,1.6,36.1,52.2,23.4,19080,23.4,29.5,23,18.7,5.3,9680,33860,3.5,26.7,24.7,27.4,23.6,17.8,14.6,81.8,19.7,4.5,9.8,-15.8,100,100,100,100,100,100,0,94
94003,Val-de-Marne  - 3e circonscription,73200,150155,135516,1.7,100,0,0,100,0,0,36.1,68,53,35,16,6,42.1,6.6,14.0,8.7,21.3,7.4,45.2,6.4,12.9,8.8,22.3,4.4,39.1,6.8,15.0,8.6,20.3,10.2,21.7,20.9,22.2,13.2,11.2,10.9,22.1,0.0,5.4,13.6,25.2,32.8,20.9,2.0,93.8,1.0,5.2,50.5,48.0,1.5,40,71.5,3.9,28.9,35.4,19.7,13.6,2.4,28.9,19.2,34.7,13.4,3.8,10.6,14.7,15.3,21.2,25.0,10.1,9.0,26.0,41.7,39.1,90.8,3,3,2.8,0.4,5.2,16.5,37.6,45.8,0.1,76.4,2.2,4.4,0.9,2,52.7,37.7,19.8,20720,19.8,26.4,23.6,22.8,7.4,10280,36630,3.6,27.8,22.4,22.9,19.1,13.5,9,82.2,20.8,6.5,7.8,-17.4,100,94.9,71.5,100,100,100,0,94
94004,Val-de-Marne  - 4e circonscription,73434,120997,118053,0.4,100,0,0,100,0,0,39.3,71,57,39,19,7,44.3,4.8,18.8,9.0,18.1,5.0,46.5,4.8,17.4,9.2,18.9,3.2,42.2,4.9,20.1,8.8,17.3,6.7,16.0,18.8,20.8,15.5,13.8,15,28.8,0.0,5.7,22.0,26.9,28.6,15.4,1.4,95.4,1.3,3.3,61.2,37.3,1.4,46.4,71.9,6.1,29.3,33.3,24.3,11.4,1.7,29.3,23.8,32.7,11.2,2.9,10.3,13.4,15.1,16.0,28.2,9.2,9.4,26.4,43.0,53.7,92.3,2.2,2.9,2.3,0.3,4.7,16,34.2,49.8,0.1,78.2,2.4,4.1,0.9,2.8,54.5,35.2,12.2,24680,12.2,20.1,23.2,30.2,14.3,12280,43700,3.6,18.9,14.4,14.1,12.2,8.5,6.3,83.1,24.3,8.8,4.6,-20.8,100,96.2,47.3,100,100,100,0,94
94005,Val-de-Marne  - 5e circonscription,89753,144133,138394,0.7,100,0,0,100,0,0,38.7,70,56,38,19,7,44.9,5.7,16.7,8.8,18.3,5.6,47.1,5.8,15.1,9.1,19.3,3.5,42.8,5.6,18.2,8.5,17.5,7.4,15.2,14.0,17.8,13.4,15,24.6,39.6,0.0,5.6,29.7,26.2,25.0,12.2,1.4,91.3,1.8,6.8,53.1,45.0,1.9,28.9,79.1,2.4,34.2,30.6,20.9,12.4,2,34.2,20.6,30.1,12.2,2.9,11.2,16.7,18.6,19.6,30.6,11.6,13.6,31.3,47.6,57.4,90.7,2.9,2.4,3.5,0.4,5.6,17.2,22.7,59.9,0.2,78.7,2.5,5,1.6,3.8,40.2,47,14.2,25360,14.2,19.6,18.8,26.7,20.7,11540,51090,4.4,19.9,16.3,15,14.5,11.2,8.5,86.6,21.1,10.8,4.4,-22.9,100,100,88.1,100,100,100,0,94
94006,Val-de-Marne  - 6e circonscription,81755,124173,125217,-0.1,100,0,0,100,0,0,39.1,71,56,38,21,7,48.3,5.6,16.5,8.5,17.2,3.9,50.2,5.6,14.1,8.6,19.0,2.5,46.7,5.5,18.6,8.4,15.7,5.2,10.3,9.2,13.9,11.7,16.6,38.2,54.8,0.0,5.2,41.6,24.7,20.0,7.3,1.1,90.6,3.2,6.2,47.6,49.4,3.0,12.1,87.9,0.7,41.1,25.9,20.3,10.5,2.3,41.1,20.1,25.7,10.4,2.7,19.8,21.0,20.9,23.3,27.6,23.0,17.8,38.6,52.8,62.7,89.3,3.1,1.6,5.4,0.6,6.9,16.7,13,70,0.3,79.5,3.2,7.9,3.3,3.5,21.5,60.6,11.3,29200,11.3,15,16.8,27.4,29.6,12510,60330,4.8,16.8,11,11.6,12.3,10.2,6.9,89.3,20,13.8,2.9,-26,100,100,100,100,100,100,0,94
94007,Val-de-Marne  - 7e circonscription,65949,117102,111641,0.8,100,0,0,100,0,0,38.4,70,56,37,19,7,43.9,5.4,16.5,8.2,18.5,7.6,44.9,5.5,14.1,8.3,19.3,7.9,42.9,5.2,18.9,8.1,17.6,7.2,15.8,17.8,19.5,14.9,13.4,18.6,32.0,0.0,4.1,22.6,27.3,30.4,14.1,1.6,93.3,1.5,5.3,49.9,48.0,2.1,21.7,74.4,1.8,35,29.7,19.8,13.4,2.1,35.0,19.4,29.3,13.2,3.0,10.8,15.7,17.5,16.8,27.8,12.4,14.4,32.7,47.8,54.5,89.6,4.6,2.4,2.9,0.5,5.3,18,29.9,51.9,0.1,73.8,2.8,7.7,1.6,2.8,48.5,36.6,14.9,23300,14.9,22.1,23,27.4,12.5,11340,41870,3.7,17.7,16.4,18.5,14.7,11.3,6.5,84.3,23.1,6.9,5.6,-19.9,100,100,67.7,100,100,100,0,94
94008,Val-de-Marne  - 8e circonscription,77989,120206,117929,0.3,100,0,0,100,0,0,39.3,71,56,38,21,8,48.0,5.3,17.3,8.8,16.3,4.3,50.5,5.2,14.9,9.0,17.5,2.8,45.8,5.4,19.4,8.6,15.2,5.5,10.4,11.6,17.4,14.1,16.8,29.8,46.6,0.0,4.9,34.4,27.6,24.1,8.0,1.1,90.9,2.8,6.3,43.2,52.6,4.2,12.4,79.3,1.1,40.8,25.8,20.7,10.3,2.4,40.8,20.4,25.5,10.2,3.0,18.0,20.9,22.9,24.6,25.6,17.9,17.8,38.5,54.2,60.9,89.5,3.2,2.3,4.6,0.4,6.8,16.5,22.1,61.2,0.2,80.1,3.3,6.6,3.1,4.5,30.5,51.9,10.1,27320,10.1,16.2,20.7,30.9,22,13080,51190,3.9,14.5,9.4,11.7,10.2,8.8,6.8,89.3,20.5,9.8,3.2,-22.9,100,100,88.3,100,100,100,0,94
94009,Val-de-Marne  - 9e circonscription,53579,105052,100596,0.7,100,0,0,100,0,0,37.3,69,54,36,19,7,42.6,7.8,14.8,8.5,19.0,7.4,45.5,7.9,13.4,8.7,19.8,4.6,39.8,7.6,16.1,8.3,18.2,9.9,22.0,17.2,19.1,11.4,12.6,17.7,30.3,0.0,4.9,19.0,24.4,30.8,18.7,2.2,92.8,1.1,6.1,35.1,62.8,2.1,16.6,72.9,1.8,36.6,27.8,18.8,13.5,3.2,36.6,18.4,27.4,13.3,4.4,14.3,19.6,19.3,21.7,25.4,14.3,13.5,35.7,52.4,67.6,91.4,3.1,1.7,3.2,0.5,5.4,20.3,26.7,52.8,0.2,78,2.6,5.8,2.2,2.9,34,52.6,22.4,19830,22.4,27.2,21.7,20.7,7.9,9750,37180,3.8,25.1,22.1,26.2,24,18.1,14.6,83.2,19.5,6,8.3,-17.1,100,100,100,100,100,100,0,94
94010,Val-de-Marne  - 10e circonscription,66555,134286,128321,0.8,100,0,0,100,0,0,36.8,68,53,35,20,7,43.9,7.8,13.5,10.1,17.6,7.1,45.8,8.4,11.9,10.3,18.4,5.1,42.1,7.1,15.0,9.9,16.8,9.1,20.0,15.1,17.6,11.4,13.3,22.5,35.8,0.0,4.6,22.9,24.2,30.0,15.9,2.3,91.7,2.5,5.8,29.7,67.6,2.7,8,73,0.7,41,24.3,17.3,12.7,4.7,41.0,17.0,23.9,12.5,5.5,22.6,24.0,24.0,22.7,28.9,18.4,16.5,37.2,46.8,52.1,89.2,3,1.8,5.1,0.9,7.2,19.9,18.2,61.7,0.2,74.9,2.8,8.9,3.4,3.3,23.9,57.7,24.2,19530,24.2,26.5,20.9,20.1,8.2,9210,37320,4.1,28.5,22.5,27.6,26,21.4,14.7,84.7,18.9,5.9,8,-17.4,100,100,100,100,100,100,0,94
