id_dep,libDep,id_circo,libCirco,Inscrits,Votants,% Votants,Abstentions,% Abstentions,Exprimés,% Exprimés/inscrits,% Exprimés/votants,Blancs,% Blancs/inscrits,% Blancs/votants,Nuls,% Nuls/inscrits,% Nuls/votants,indicateur,valeur
10,Aube,10001,1ère circonscription,63973,43494,"67,99%",20479,"32,01%",42044,"65,72%","96,67%",836,"1,31%","1,92%",614,"0,96%","1,41%",Numéro de panneau 1,1
10,Aube,10002,2ème circonscription,73976,50939,"68,86%",23037,"31,14%",49780,"67,29%","97,72%",708,"0,96%","1,39%",451,"0,61%","0,89%",Numéro de panneau 1,1
10,Aube,10003,3ème circonscription,65463,42571,"65,03%",22892,"34,97%",41731,"63,75%","98,03%",531,"0,81%","1,25%",309,"0,47%","0,73%",Numéro de panneau 1,1
10,Aube,10001,1ère circonscription,63973,43494,"67,99%",20479,"32,01%",42044,"65,72%","96,67%",836,"1,31%","1,92%",614,"0,96%","1,41%",Nuance candidat 1,RN
10,Aube,10002,2ème circonscription,73976,50939,"68,86%",23037,"31,14%",49780,"67,29%","97,72%",708,"0,96%","1,39%",451,"0,61%","0,89%",Nuance candidat 1,UG
10,Aube,10003,3ème circonscription,65463,42571,"65,03%",22892,"34,97%",41731,"63,75%","98,03%",531,"0,81%","1,25%",309,"0,47%","0,73%",Nuance candidat 1,UG
10,Aube,10001,1ère circonscription,63973,43494,"67,99%",20479,"32,01%",42044,"65,72%","96,67%",836,"1,31%","1,92%",614,"0,96%","1,41%",Nom candidat 1,GUITTON
10,Aube,10002,2ème circonscription,73976,50939,"68,86%",23037,"31,14%",49780,"67,29%","97,72%",708,"0,96%","1,39%",451,"0,61%","0,89%",Nom candidat 1,SEBBARI
10,Aube,10003,3ème circonscription,65463,42571,"65,03%",22892,"34,97%",41731,"63,75%","98,03%",531,"0,81%","1,25%",309,"0,47%","0,73%",Nom candidat 1,GIRARDIN
10,Aube,10001,1ère circonscription,63973,43494,"67,99%",20479,"32,01%",42044,"65,72%","96,67%",836,"1,31%","1,92%",614,"0,96%","1,41%",Prénom candidat 1,Jordan
10,Aube,10002,2ème circonscription,73976,50939,"68,86%",23037,"31,14%",49780,"67,29%","97,72%",708,"0,96%","1,39%",451,"0,61%","0,89%",Prénom candidat 1,Samira
10,Aube,10003,3ème circonscription,65463,42571,"65,03%",22892,"34,97%",41731,"63,75%","98,03%",531,"0,81%","1,25%",309,"0,47%","0,73%",Prénom candidat 1,Olivier
10,Aube,10001,1ère circonscription,63973,43494,"67,99%",20479,"32,01%",42044,"65,72%","96,67%",836,"1,31%","1,92%",614,"0,96%","1,41%",Sexe candidat 1,MASCULIN
10,Aube,10002,2ème circonscription,73976,50939,"68,86%",23037,"31,14%",49780,"67,29%","97,72%",708,"0,96%","1,39%",451,"0,61%","0,89%",Sexe candidat 1,FEMININ
