id_circo,Nom de la circonscription,Inscrit_22,pop_légal_19,pop_légal_13,tvar_pop,pop_pole_aav,pop_cour_aav,pop_horsaav,pop_urb,pop_rur_periu,pop_rur_non_periu,age_moyen,dec90,dec75,dec50,dec25,dec10,actemp,actcho,inactret,inactetu,inactm14,inactaut,actemp_hom,actcho_hom,inactret_hom,inactetu_hom,inactm14_hom,inactaut_hom,actemp_fem,actcho_fem,inactret_fem,inactetu_fem,inactm14_fem,inactaut_fem,actdip_PEU,actdip_CAP,actdip_BAC,actdip_BAC2,actdip_BAC3,actdip_BAC5,actdip_BAC3P,act_agr,act_art,act_cad,act_int,act_emp,act_ouv,act_cho,log_res,log_sec,log_vac,proprio,locatai,gratuit,maison,ach90,mfuel,men_seul,men_coupae,men_coupse,men_monop,men_sfam,men_seul_com,men_coupse_com,men_coupae_com,men_monop_com,men_complexe_com,seul_hom1829,seul_hom3059,seul_hom6074,seul_hom7584,seul_hom85,seul_fem1829,seul_fem3059,seul_fem6074,seul_fem7584,seul_fem85,iranr_log,iranr_com,iranr_dep,iranr_fra,iranr_etr,mobresid,ilt_com,ilt_dep,ilt_fra,ilt_etr,mobtrav,modtrans_aucun,modtrans_pied,modtrans_velo,modtrans_moto,modtrans_voit,modtrans_commun,tx_pauvrete60_diff,nivvie_median_diff,part_pauvres_diff,part_modestes_diff,part_medians_diff,part_plutot_aises_diff,part_aises_diff,D1_diff,D9_diff,rpt_D9_D1_diff,tx_pauvrete60_diff_trageRF1,tx_pauvrete60_diff_trageRF2,tx_pauvrete60_diff_trageRF3,tx_pauvrete60_diff_trageRF4,tx_pauvrete60_diff_trageRF5,tx_pauvrete60_diff_trageRF6,PACT,PPEN,PPAT,PPSOC,PIMPOT,acc_ecole,acc_college,acc_lycee,acc_medecin,acc_dentiste,acc_pharmacie,part_eloig,id_dep
24001,Dordogne - 1re circonscription,77353,105396,105553,0.0,33.9,50.4,15.7,45.4,27.1,27.5,45.3,78,65,47,24,10,37.1,6.3,30.5,6.1,13.6,6.4,38.9,6.6,28.2,6.1,14.8,5.5,35.5,6.0,32.6,6.1,12.6,7.2,14.6,30.0,22.7,13.9,10.7,8.1,18.8,0.9,7.1,10.4,24.6,33.2,22.2,1.5,84.3,4.8,10.9,59.1,38.7,2.2,69.5,72.1,9.3,41.9,18.3,28.4,9.8,1.5,41.9,28.2,18.2,9.8,1.9,21.8,23.2,20.8,16.9,28.7,26.4,17.1,31.1,44.4,53.8,86.1,4.5,5.4,3.8,0.3,6.2,35.1,58.7,6.2,0.1,23.2,4.6,8.2,1.6,1.4,81,3.3,15.3,20770,15.3,29.4,29.3,20.3,5.7,11440,34200,3,28.9,19.9,17.5,14.5,10.5,9.9,61.3,38.3,8.2,6.9,-14.7,98.5,53.5,38.4,72.7,70.5,78.1,9.5,24
24002,Dordogne - 2e circonscription,84067,108486,109506,-0.2,24.7,48.5,26.8,24.7,41.4,33.9,47.1,78,67,50,27,10,35.9,5.8,32.9,5.1,13.8,6.5,38.0,5.7,31.6,5.1,14.6,5.1,34.0,6.0,34.0,5.1,13.0,7.8,16.7,33.0,21.0,13.3,9.2,6.7,15.9,4.0,10.3,8.3,21.1,29.9,25.4,0.9,78.7,11.3,10.1,69.4,28.0,2.6,86.8,69.8,15.6,35.3,20.5,34.1,8.3,1.7,35.3,33.8,20.3,8.3,2.2,14.2,17.5,17.5,16.4,20.0,14.8,13.0,26.4,39.3,46.1,88.9,3.2,4.1,3.2,0.5,4.5,36.9,49.4,13.4,0.3,21.3,6.8,4.4,1.5,1.4,83.9,1.9,16.7,20240,16.7,30.8,27.9,18.9,5.8,11170,33950,3,23.1,20.5,19.9,18.1,12.1,13.4,57.2,40.7,10,6.4,-14.4,88.5,37.7,29,58.3,52,60,28.7,24
24003,Dordogne - 3e circonscription,67127,86856,88639,-0.3,11.2,42.6,46.1,0,14.2,85.8,49.5,80,68,53,31,12,36.6,4.9,36.8,4.5,11.8,5.3,39.1,4.9,34.9,4.6,12.4,4.1,34.3,5.0,38.6,4.4,11.4,6.5,17.2,35.4,22.5,11.7,7.8,5.4,13.2,4.7,11.1,7.2,18.7,28.1,29.1,1.1,69.7,18.2,12.0,75.2,21.8,2.9,92.9,76.5,22.9,35.3,19.6,35.2,7.9,1.9,35.3,35.0,19.5,7.8,2.4,12.4,16.9,19.1,18.9,30.6,9.0,11.0,23.8,43.0,46.3,90.9,1.9,3.8,2.9,0.5,4.6,33,55.1,11.6,0.3,31.9,7.7,4.9,0.6,1.1,84.3,1.4,16.7,20000,16.7,31.9,29.1,17.8,4.5,11150,32480,2.9,23.3,18.8,18.5,18,13.1,16.4,55.3,42.6,9.8,5.5,-13.3,79.9,31,14.2,52.8,36.6,50,52.9,24
24004,Dordogne - 4e circonscription,89621,112485,113211,-0.1,7.8,51.4,40.8,7.8,30.4,61.8,47.0,78,66,50,28,10,38.1,5.9,32.2,5.0,13.5,5.4,40.6,5.5,30.8,5.2,14.2,3.7,35.7,6.2,33.5,4.9,12.8,6.9,16.3,33.0,22.2,13.5,8.9,6.1,15.0,4.3,11.5,8.2,21.5,29.6,24.0,0.9,69.5,21.9,8.6,71.4,25.6,3.0,88.4,66.3,18.5,34.3,22,34,8,1.7,34.3,33.7,21.8,8.0,2.2,13.4,16.8,18.2,19.8,26.7,12.1,12.8,25.3,39.4,48.0,89.7,2.5,4.5,3,0.4,4.7,35.1,54.8,10,0.2,29.8,7.5,4.3,0.5,1.2,85.2,1.3,15.5,20520,15.5,30.6,28.5,19.9,5.5,11430,33940,3,21.9,18.6,17.6,16.3,11.5,14.2,58.6,39.5,10.7,5.5,-14.3,85.2,23.8,23.9,57.1,49,55.6,36,24
