,430
id_circo,78006
Nom de la circonscription,Yvelines  - 6e circonscription
Inscrit_22,75603
pop_légal_19,115680
pop_légal_13,111955
tvar_pop,0.5
pop_pole_aav,98.8
pop_cour_aav,1.2
pop_horsaav,0
pop_urb,100
pop_rur_periu,0
pop_rur_non_periu,0
age_moyen,38.7
dec90,72
dec75,56
dec50,39
dec25,17
dec10,7
actemp,43.4
actcho,5.3
inactret,16.8
inactetu,9.1
inactm14,19.5
inactaut,5.9
actemp_hom,46.3
actcho_hom,5.2
inactret_hom,15.1
inactetu_hom,9.3
inactm14_hom,21.4
inactaut_hom,2.7
actemp_fem,40.8
actcho_fem,5.5
inactret_fem,18.3
inactetu_fem,8.8
inactm14_fem,17.8
inactaut_fem,8.8
actdip_PEU,11.6
actdip_CAP,13.9
actdip_BAC,15.7
actdip_BAC2,12.8
actdip_BAC3,15.1
actdip_BAC5,30.8
actdip_BAC3P,45.9
act_agr,0.1
act_art,4.6
act_cad,34.4
act_int,25.3
act_emp,24.3
act_ouv,10.2
act_cho,1.2
log_res,91.1
log_sec,3.0
log_vac,5.9
proprio,50.2
locatai,47.5
gratuit,2.3
maison,29.9
ach90,76.7
mfuel,2.6
men_seul,34.5
men_coupae,30.8
men_coupse,22
men_monop,11.1
men_sfam,1.6
men_seul_com,34.5
men_coupse_com,21.8
men_coupae_com,30.6
men_monop_com,11.0
men_complexe_com,2.2
seul_hom1829,14.7
seul_hom3059,17.3
seul_hom6074,18.2
seul_hom7584,20.1
seul_hom85,27.8
seul_fem1829,12.9
seul_fem3059,12.6
seul_fem6074,32.4
seul_fem7584,46.9
seul_fem85,54.9
iranr_log,88
iranr_com,3.4
iranr_dep,3.7
iranr_fra,3.6
iranr_etr,1.3
mobresid,7.6
ilt_com,19.9
ilt_dep,28.8
ilt_fra,50.9
ilt_etr,0.4
mobtrav,73.9
modtrans_aucun,3.6
modtrans_pied,6.7
modtrans_velo,1.3
modtrans_moto,2.1
modtrans_voit,46.4
modtrans_commun,40
tx_pauvrete60_diff,10.1
nivvie_median_diff,27710
part_pauvres_diff,10.1
part_modestes_diff,17.3
part_medians_diff,18.9
part_plutot_aises_diff,26.9
part_aises_diff,26.7
D1_diff,13090
D9_diff,59210
rpt_D9_D1_diff,4.5
tx_pauvrete60_diff_trageRF1,13.9
tx_pauvrete60_diff_trageRF2,12.4
tx_pauvrete60_diff_trageRF3,11.9
tx_pauvrete60_diff_trageRF4,9.3
tx_pauvrete60_diff_trageRF5,7
tx_pauvrete60_diff_trageRF6,5.1
PACT,88.3
PPEN,21.5
PPAT,12.8
PPSOC,3.2
PIMPOT,-25.8
acc_ecole,100
acc_college,90.2
acc_lycee,71.2
acc_medecin,99.1
acc_dentiste,99.1
acc_pharmacie,97.9
part_eloig,0
