,65
id_circo,14006
Nom de la circonscription,Calvados  - 6e circonscription
Inscrit_22,95726
pop_légal_19,128065
pop_légal_13,126477
tvar_pop,0.2
pop_pole_aav,18.4
pop_cour_aav,80.9
pop_horsaav,0.7
pop_urb,36.1
pop_rur_periu,40.4
pop_rur_non_periu,23.4
age_moyen,41.0
dec90,73
dec75,60
dec50,42
dec25,18
dec10,8
actemp,42.6
actcho,4.6
inactret,23.8
inactetu,7.0
inactm14,18.4
inactaut,3.7
actemp_hom,44.7
actcho_hom,4.5
inactret_hom,22.3
inactetu_hom,6.9
inactm14_hom,19.2
inactaut_hom,2.5
actemp_fem,40.5
actcho_fem,4.6
inactret_fem,25.3
inactetu_fem,7.1
inactm14_fem,17.7
inactaut_fem,4.8
actdip_PEU,15.7
actdip_CAP,31.1
actdip_BAC,21.9
actdip_BAC2,14.8
actdip_BAC3,9.3
actdip_BAC5,7.2
actdip_BAC3P,16.5
act_agr,2.7
act_art,6.0
act_cad,9.9
act_int,24.9
act_emp,28.2
act_ouv,27.6
act_cho,0.8
log_res,86.9
log_sec,4.5
log_vac,8.5
proprio,69.8
locatai,28.9
gratuit,1.2
maison,87.4
ach90,68.5
mfuel,17.5
men_seul,28.3
men_coupae,32
men_coupse,31.1
men_monop,7.4
men_sfam,1.3
men_seul_com,28.3
men_coupse_com,31.0
men_coupae_com,32.0
men_monop_com,7.3
men_complexe_com,1.5
seul_hom1829,10.5
seul_hom3059,13.4
seul_hom6074,15.7
seul_hom7584,18.8
seul_hom85,26.0
seul_fem1829,8.1
seul_fem3059,7.6
seul_fem6074,23.2
seul_fem7584,43.7
seul_fem85,48.2
iranr_log,90.7
iranr_com,2.1
iranr_dep,5.2
iranr_fra,1.8
iranr_etr,0.1
mobresid,4.7
ilt_com,25.7
ilt_dep,64.7
ilt_fra,9.5
ilt_etr,0.1
mobtrav,52
modtrans_aucun,5.5
modtrans_pied,3.7
modtrans_velo,0.7
modtrans_moto,1
modtrans_voit,87.4
modtrans_commun,1.8
tx_pauvrete60_diff,10
nivvie_median_diff,21700
part_pauvres_diff,10
part_modestes_diff,28.5
part_medians_diff,34.1
part_plutot_aises_diff,22.3
part_aises_diff,5.1
D1_diff,13150
D9_diff,33910
rpt_D9_D1_diff,2.6
tx_pauvrete60_diff_trageRF1,15.7
tx_pauvrete60_diff_trageRF2,10.8
tx_pauvrete60_diff_trageRF3,10.8
tx_pauvrete60_diff_trageRF4,9.9
tx_pauvrete60_diff_trageRF5,7.4
tx_pauvrete60_diff_trageRF6,9.1
PACT,72.9
PPEN,28.4
PPAT,7.4
PPSOC,5.6
PIMPOT,-14.2
acc_ecole,90.7
acc_college,49.1
acc_lycee,19.1
acc_medecin,66.3
acc_dentiste,41.5
acc_pharmacie,67.6
part_eloig,20.9
