,432
id_circo,78008
Nom de la circonscription,Yvelines  - 8e circonscription
Inscrit_22,74215
pop_légal_19,127340
pop_légal_13,124277
tvar_pop,0.4
pop_pole_aav,69.5
pop_cour_aav,30.5
pop_horsaav,0
pop_urb,94.4
pop_rur_periu,5.6
pop_rur_non_periu,0
age_moyen,37.1
dec90,70
dec75,55
dec50,36
dec25,16
dec10,6
actemp,38.7
actcho,7.4
inactret,17.2
inactetu,8.1
inactm14,21.0
inactaut,7.7
actemp_hom,41.6
actcho_hom,7.7
inactret_hom,16.8
inactetu_hom,8.0
inactm14_hom,21.6
inactaut_hom,4.3
actemp_fem,35.9
actcho_fem,7.1
inactret_fem,17.5
inactetu_fem,8.1
inactm14_fem,20.4
inactaut_fem,11.0
actdip_PEU,21.0
actdip_CAP,24.3
actdip_BAC,21.8
actdip_BAC2,13.6
actdip_BAC3,10.1
actdip_BAC5,9.2
actdip_BAC3P,19.3
act_agr,0.1
act_art,4.4
act_cad,13.0
act_int,26.5
act_emp,31.4
act_ouv,22.4
act_cho,2.1
log_res,92.0
log_sec,1.6
log_vac,6.4
proprio,50.8
locatai,47.7
gratuit,1.5
maison,47.7
ach90,71.9
mfuel,5.8
men_seul,30.7
men_coupae,34.3
men_coupse,21.6
men_monop,11.8
men_sfam,1.6
men_seul_com,30.7
men_coupse_com,21.2
men_coupae_com,33.9
men_monop_com,11.7
men_complexe_com,2.5
seul_hom1829,10.5
seul_hom3059,15.7
seul_hom6074,17.4
seul_hom7584,19.4
seul_hom85,23.5
seul_fem1829,8.2
seul_fem3059,9.8
seul_fem6074,27.6
seul_fem7584,46.2
seul_fem85,48.8
iranr_log,91.1
iranr_com,2.9
iranr_dep,3.7
iranr_fra,1.9
iranr_etr,0.3
mobresid,3.9
ilt_com,20.3
ilt_dep,49.5
ilt_fra,30
ilt_etr,0.2
mobtrav,60.3
modtrans_aucun,2.4
modtrans_pied,5.9
modtrans_velo,0.7
modtrans_moto,1.1
modtrans_voit,61.9
modtrans_commun,28
tx_pauvrete60_diff,19.9
nivvie_median_diff,20320
part_pauvres_diff,19.9
part_modestes_diff,27.5
part_medians_diff,25.2
part_plutot_aises_diff,21.7
part_aises_diff,5.7
D1_diff,10440
D9_diff,34680
rpt_D9_D1_diff,3.3
tx_pauvrete60_diff_trageRF1,23
tx_pauvrete60_diff_trageRF2,22.7
tx_pauvrete60_diff_trageRF3,23.3
tx_pauvrete60_diff_trageRF4,19.1
tx_pauvrete60_diff_trageRF5,15.5
tx_pauvrete60_diff_trageRF6,11.7
PACT,76.9
PPEN,24.7
PPAT,5.7
PPSOC,8.4
PIMPOT,-15.7
acc_ecole,100
acc_college,83.8
acc_lycee,72
acc_medecin,94.8
acc_dentiste,82.3
acc_pharmacie,92.7
part_eloig,3.9
