,55455
% Voix/exprimés 19,"0,00%"
Sièges 19,0
Numéro de panneau 20,20
Nuance liste 20,LDVG
Libellé abrégé de liste 20,CHANGER L'EUROPE
Libellé de liste 20,CHANGER L'EUROPE
Voix 20,0
% Voix/inscrits 20,"0,00%"
% Voix/exprimés 20,"0,00%"
Sièges 20,0
Numéro de panneau 21,21
Nuance liste 21,LDIV
Libellé abrégé de liste 21,NLP
Libellé de liste 21,NOUS LE PEUPLE
Voix 21,1
% Voix/inscrits 21,"0,07%"
% Voix/exprimés 21,"0,11%"
Sièges 21,0
Numéro de panneau 22,22
Nuance liste 22,LEXG
Libellé abrégé de liste 22,URGENCE REVOLUTION !
Libellé de liste 22,"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !"
Voix 22,2
% Voix/inscrits 22,"0,15%"
% Voix/exprimés 22,"0,22%"
Sièges 22,0
Numéro de panneau 23,23
Nuance liste 23,LEXG
Libellé abrégé de liste 23,PPL
Libellé de liste 23,"""POUR LE PAIN, LA PAIX, LA LIBERTÉ !"" PRÉSENTÉE PAR LE PARTI DES TRAVAILLEURS"
Voix 23,0
% Voix/inscrits 23,"0,00%"
% Voix/exprimés 23,"0,00%"
Sièges 23,0
Numéro de panneau 24,24
Nuance liste 24,LEXD
Libellé abrégé de liste 24,L'EUROPE CA SUFFIT !
Libellé de liste 24,L'EUROPE CA SUFFIT !
Voix 24,8
% Voix/inscrits 24,"0,59%"
% Voix/exprimés 24,"0,87%"
Sièges 24,0
Numéro de panneau 25,25
Nuance liste 25,LDIV
Libellé abrégé de liste 25,PRENONS-NOUS EN MAIN
Libellé de liste 25,NON ! PRENONS-NOUS EN MAINS
Voix 25,0
% Voix/inscrits 25,"0,00%"
% Voix/exprimés 25,"0,00%"
Sièges 25,0
Numéro de panneau 26,26
Nuance liste 26,LEXD
Libellé abrégé de liste 26,FORTERESSE EUROPE
Libellé de liste 26,FORTERESSE EUROPE - LISTE D'UNITE NATIONALISTE
Voix 26,1
% Voix/inscrits 26,"0,07%"
% Voix/exprimés 26,"0,11%"
Sièges 26,0
Numéro de panneau 27,27
Nuance liste 27,LUG
Libellé abrégé de liste 27,REVEIL EUR
Libellé de liste 27,RÉVEILLER L'EUROPE
Voix 27,139
% Voix/inscrits 27,"10,21%"
% Voix/exprimés 27,"15,04%"
Sièges 27,13
Numéro de panneau 28,28
Nuance liste 28,LEXG
Libellé abrégé de liste 28,"NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL"
Libellé de liste 28,"NON À L'UE ET À L'OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRÈS SOCIAL"
Voix 28,0
% Voix/inscrits 28,"0,00%"
% Voix/exprimés 28,"0,00%"
Sièges 28,0
Numéro de panneau 29,29
Nuance liste 29,LDVD
Libellé abrégé de liste 29,AR
Libellé de liste 29,ALLIANCE RURALE
Voix 29,5
% Voix/inscrits 29,"0,37%"
% Voix/exprimés 29,"0,54%"
Sièges 29,0
Numéro de panneau 30,30
Nuance liste 30,LDIV
Libellé abrégé de liste 30,FRANCE LIBRE
Libellé de liste 30,FRANCE LIBRE
Voix 30,0
% Voix/inscrits 30,"0,00%"
% Voix/exprimés 30,"0,00%"
Sièges 30,0
Numéro de panneau 31,31
Nuance liste 31,LDVG
Libellé abrégé de liste 31,EUROPE TERRITOIRES ÉCOLOGIE
Libellé de liste 31,EUROPE TERRITOIRES ÉCOLOGIE
Voix 31,2
% Voix/inscrits 31,"0,15%"
% Voix/exprimés 31,"0,22%"
Sièges 31,0
Numéro de panneau 32,32
Nuance liste 32,LDIV
Libellé abrégé de liste 32,LA RUCHE CITOYENNE
Libellé de liste 32,LA RUCHE CITOYENNE
Voix 32,0
% Voix/inscrits 32,"0,00%"
% Voix/exprimés 32,"0,00%"
Sièges 32,0
Numéro de panneau 33,33
Nuance liste 33,LCOM
Libellé abrégé de liste 33,GAUCHE UNIE
Libellé de liste 33,GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL
Voix 33,8
% Voix/inscrits 33,"0,59%"
% Voix/exprimés 33,"0,87%"
Sièges 33,0
Numéro de panneau 34,34
Nuance liste 34,LDIV
Libellé abrégé de liste 34,DEFENDRE LES ENFANTS
Libellé de liste 34,DEFENDRE LES ENFANTS
Voix 34,0
% Voix/inscrits 34,"0,00%"
% Voix/exprimés 34,"0,00%"
Sièges 34,0
Numéro de panneau 35,35
Nuance liste 35,LECO
Libellé abrégé de liste 35,EAC
Libellé de liste 35,ÉCOLOGIE AU CENTRE
Voix 35,21
% Voix/inscrits 35,"1,54%"
% Voix/exprimés 35,"2,27%"
Sièges 35,0
Numéro de panneau 36,36
Nuance liste 36,LDIV
Libellé abrégé de liste 36,DEMOCRATIE REPRESENTATIVE
Libellé de liste 36,DEMOCRATIE REPRESENTATIVE
Voix 36,0
% Voix/inscrits 36,"0,00%"
% Voix/exprimés 36,"0,00%"
Sièges 36,0
Numéro de panneau 37,37
Nuance liste 37,LDIV
Libellé abrégé de liste 37,ESPERANTO
Libellé de liste 37,ESPERANTO LANGUE COMMUNE
Voix 37,0
% Voix/inscrits 37,"0,00%"
% Voix/exprimés 37,"0,00%"
Sièges 37,0
Numéro de panneau 38,38
Nuance liste 38,LDIV
Libellé abrégé de liste 38,LIBERTÉ DÉMOCRATIQUE FRANÇAISE
Libellé de liste 38,LIBERTÉ DÉMOCRATIQUE FRANÇAISE
Voix 38,0
% Voix/inscrits 38,"0,00%"
% Voix/exprimés 38,"0,00%"
Sièges 38,0
codeBureauVote,78146_0003
